NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
"Burrstone Engy Center, LLC LU",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,1.1,0,0.018333333,0.183333333,0.55,1.1,0,0,45,1,24.56124,0
"Burrstone Engy Center, LLC U",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,2.2,0,0.036666667,0.366666667,1.1,2.2,0,0,45,1,24.56124,0
Charles P Keller 09,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,3.5,0,0.058333333,0.583333333,1.75,3.5,0,0,79,1,151.46775,0
Charles P Keller 10,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,3.5,0,0.058333333,0.583333333,1.75,3.5,0,0,79,1,151.46775,0
Charles P Keller 11,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,5.2,0,0.086666667,0.866666667,2.6,5.2,0,0,79,1,151.46775,0
Charles P Keller 14,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,6.2,0,0.103333333,1.033333333,3.1,6.2,0,0,79,1,151.46775,0
Coxsackie GT,23611,G,Combustion Turbine,Kerosene,42.350889,-73.815798,21.6,0,0.36,3.6,10.8,21.6,0,0,39,1,195.33105,0
East Hampton 2,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,0,0,80,1,151.46775,0
East Hampton 3,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,0,0,80,1,151.46775,0
East Hampton 4,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,0,0,80,1,151.46775,0
East Hampton GT 01,23717,K,Jet Engine,Fuel Oil 2,40.961706,-72.210277,21.3,0,0.355,3.55,10.65,21.3,0,0,80,1,195.33105,0
Freeport 1-4,1660,K,Internal Combustion,Fuel Oil 2,40.6447,-73.5683,5.1,0,0.085,0.85,2.55,5.1,0,0,79,1,151.46775,0
Freeport 2-3,1660,K,Combustion Turbine,Kerosene,40.6447,-73.5683,18.1,0,0.301666667,3.016666667,9.05,18.1,0,0,79,1,195.33105,0
General Mills Inc,23808,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,3.8,0,0.063333333,0.633333333,1.9,3.8,0,0,57,1,30.63048,0
Gowanus 1-1,24077,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-2,24078,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-3,24079,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-4,24080,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-5,24084,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-6,24111,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 1-7,24112,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-1,24114,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-2,24115,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-3,24116,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-4,24117,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-5,24118,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-6,24119,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-7,24120,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 2-8,24121,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-1,24122,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-2,24123,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-3,24124,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-4,24125,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-5,24126,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-6,24127,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-7,24128,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 3-8,24129,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-1,24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-2,24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-3,24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-4,24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-5,24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-6,24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Gowanus 4-8,24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,0,0,82,1,195.33105,0
Hudson Ave 3,23810,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,0,0,82,1,195.33105,0
Hudson Ave 4,23540,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,0,0,82,1,195.33105,0
Hudson Ave 5,23657,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,0,0,82,1,195.33105,0
Jamestown 5,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,28.7,0,0.478333333,4.783333333,14.35,28.7,0,0,60,1,28.55772,0
Jamestown 6,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,25,0,0.416666667,4.166666667,12.5,25,0,0,60,1,28.55772,0
Narrows 1-1,24228,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-2,24229,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-3,24230,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-4,24231,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-5,24232,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-6,24233,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-7,24234,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 1-8,24235,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-1,24236,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-2,24237,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-3,24238,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-4,24239,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-5,24240,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-6,24241,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-7,24242,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Narrows 2-8,24243,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,0,0,82,1,195.33105,0
Northport GT,23718,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,16,0,0.266666667,2.666666667,8,16,0,0,80,1,195.33105,0
Ravenswood 01,23729,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,18.6,0,0.31,3.1,9.3,18.6,0,0,82,1,32.40616,0
Ravenswood 10,24258,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666667,4.166666667,12.5,25,0,0,82,1,195.33105,0
Ravenswood 11,24259,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666667,4.166666667,12.5,25,0,0,82,1,195.33105,0
S Hampton 1,23720,K,Combustion Turbine,Fuel Oil 2,40.899997,-72.381977,11.5,0,0.191666667,1.916666667,5.75,11.5,0,0,80,1,195.33105,0
Shoreham 1,23715,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,52.9,0,0.881666667,8.816666667,26.45,52.9,0,0,80,1,195.33105,0
Shoreham 2,23716,K,Jet Engine,Fuel Oil 2,40.9572,-72.8664,18.6,0,0.31,3.1,9.3,18.6,0,0,80,1,195.33105,0
South Cairo,23612,G,Combustion Turbine,Kerosene,42.291275,-73.986452,21.6,0,0.36,3.6,10.8,21.6,0,0,39,1,195.33105,0
Southold 1,23719,K,Combustion Turbine,Fuel Oil 2,41.1059,-72.3761,14,0,0.233333333,2.333333333,7,14,0,0,80,1,195.33105,0
St. Elizabeth Medical Center,23633,E,Internal Combustion,Natural Gas,43.082104,-75.2661,0.6,0,0.01,0.1,0.3,0.6,0,0,45,1,24.56124,0
