NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
Batavia,24024,B,Combined Cycle,Natural Gas,42.9828,-78.1592,43,9,0.441666667,4.416666667,13.25,26.5,0.935448922,0.939794463,62,1,26.52947085,251.5767562
Beaver Falls,23983,E,Combined Cycle,Natural Gas,43.8861,-75.4342,98,1.3,0.808333333,8.083333333,24.25,48.5,0.90914342,0.909295518,47,1,16.93053051,375.8579033
Bethlehem Energy Center,323570,F,Combined Cycle,Natural Gas,42.5905,-73.7636,618,116,6,60,180,360,0.978839372,0.984490187,42,1,27.03195917,684.8915988
Bethpage,23823,K,Combined Cycle,Natural Gas,40.7469,-73.4994,61,10,0.85,8.5,25.5,51,0.941195955,0.942053828,79,1,22.47936158,53.10365605
Bethpage 3,323564,K,Combined Cycle,Natural Gas,40.7469,-73.4994,83,27,0.875,8.75,26.25,52.5,0.946942156,0.974149981,79,1,23.50663493,121.6416166
Bethpage GT4,323586,K,Combustion Turbine,Natural Gas,40.7469,-73.4994,49,14,0.641666667,6.416666667,19.25,38.5,0.914021021,0.951694905,79,1,49.07372736,-888.3010626
Bowline 1,23526,G,Steam Turbine,Natural Gas,41.2044,-73.9689,621,30.55,6.208333333,62.08333333,186.25,372.5,0.987997921,0.99113521,77,1,23.03463013,1819.785604
Bowline 2,23595,G,Steam Turbine,Natural Gas,41.2044,-73.9689,593,83.4,4.9,49,147,294,0.994178771,0.995992919,77,1,27.57925719,838.5135031
Brentwood,24164,K,Combustion Turbine,Natural Gas,40.787,-73.2933,49,15,0.658333333,6.583333333,19.75,39.5,0.885031603,0.926490676,80,1,51.42392122,-1039.291161
Brooklyn Navy Yard,23515,J,Combined Cycle,Natural Gas,40.6994,-73.9758,240,101,1.591666667,15.91666667,47.75,95.5,0.973868019,0.99160168,82,1,31.33297114,385.5866945
CPV_VALLEY___CC1,323721,G,Combined Cycle,Natural Gas,41.413,-74.435,361,222,3.533333333,35.33333333,106,212,0.906008737,0.917392599,77,1,20.20167278,-416.8053916
