TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2019,1462245,0.798936205087857,581635,0.913279758315747
02/01/2019,1257903,0.760926611498258,545468,0.948257398753894
03/01/2019,1476454,0.80669966780313,643992,1.01119234247814
04/01/2019,1258460,0.710512646793135,588408,0.95471183800623
05/01/2019,1459814,0.797607963982866,631838,0.992108205205507
06/01/2019,1364832,0.770569105691057,676946,1.09836773104881
07/01/2019,1499017,0.819027559227205,685315,1.07607746708873
08/01/2019,1450448,0.792490602325378,700491,1.09990673047935
09/01/2019,1390462,0.785039521228546,676482,1.09761487538941
10/01/2019,1381413,0.754771505376344,640258,1.00532923826751
11/01/2019,1361124,0.768475609756098,646602,1.04913356697819
12/01/2019,1547130,0.845315368476265,665879,1.0455591774696
