TimeStamp,FuelCategory,GenMW
01/01/2016 00:00,Dual Fuel,2624.09090909091
01/01/2016 00:00,Hydro,2616.81818181818
01/01/2016 00:00,Natural Gas,1262.36363636364
01/01/2016 00:00,Nuclear,5422.63636363636
01/01/2016 00:00,Other Fossil Fuels,0
01/01/2016 00:00,Other Renewables,310.818181818182
01/01/2016 00:00,Wind,416.636363636364
01/01/2016 01:00,Dual Fuel,2613.5
01/01/2016 01:00,Hydro,2341.08333333333
01/01/2016 01:00,Natural Gas,1197.33333333333
01/01/2016 01:00,Nuclear,5422.58333333333
01/01/2016 01:00,Other Fossil Fuels,0
01/01/2016 01:00,Other Renewables,310.166666666667
01/01/2016 01:00,Wind,470.833333333333
01/01/2016 02:00,Dual Fuel,2280.83333333333
01/01/2016 02:00,Hydro,1929
01/01/2016 02:00,Natural Gas,1192.25
01/01/2016 02:00,Nuclear,5422.33333333333
01/01/2016 02:00,Other Fossil Fuels,0
01/01/2016 02:00,Other Renewables,308.083333333333
01/01/2016 02:00,Wind,469.25
01/01/2016 03:00,Dual Fuel,2204.33333333333
01/01/2016 03:00,Hydro,1909.91666666667
01/01/2016 03:00,Natural Gas,1194.08333333333
01/01/2016 03:00,Nuclear,5422.33333333333
01/01/2016 03:00,Other Fossil Fuels,0
01/01/2016 03:00,Other Renewables,309.583333333333
01/01/2016 03:00,Wind,436.833333333333
01/01/2016 04:00,Dual Fuel,2380.5
01/01/2016 04:00,Hydro,1998.58333333333
01/01/2016 04:00,Natural Gas,1209.91666666667
01/01/2016 04:00,Nuclear,5422
01/01/2016 04:00,Other Fossil Fuels,0
01/01/2016 04:00,Other Renewables,309.916666666667
01/01/2016 04:00,Wind,413.166666666667
01/01/2016 05:00,Dual Fuel,2556.08333333333
01/01/2016 05:00,Hydro,1980.5
01/01/2016 05:00,Natural Gas,1272.91666666667
01/01/2016 05:00,Nuclear,5423.08333333333
01/01/2016 05:00,Other Fossil Fuels,21.9166666666667
01/01/2016 05:00,Other Renewables,307.166666666667
01/01/2016 05:00,Wind,442.333333333333
01/01/2016 06:00,Dual Fuel,2915.41666666667
01/01/2016 06:00,Hydro,2404.66666666667
01/01/2016 06:00,Natural Gas,1341.33333333333
01/01/2016 06:00,Nuclear,5421.91666666667
01/01/2016 06:00,Other Fossil Fuels,63.3333333333333
01/01/2016 06:00,Other Renewables,307.333333333333
01/01/2016 06:00,Wind,396.75
01/01/2016 07:00,Dual Fuel,2871.25
01/01/2016 07:00,Hydro,2665.83333333333
01/01/2016 07:00,Natural Gas,1454.75
01/01/2016 07:00,Nuclear,5422.41666666667
01/01/2016 07:00,Other Fossil Fuels,84.6666666666667
01/01/2016 07:00,Other Renewables,309.25
01/01/2016 07:00,Wind,385
01/01/2016 08:00,Dual Fuel,2944.25
01/01/2016 08:00,Hydro,2790.33333333333
01/01/2016 08:00,Natural Gas,1468.25
01/01/2016 08:00,Nuclear,5423
01/01/2016 08:00,Other Fossil Fuels,86.5833333333333
01/01/2016 08:00,Other Renewables,309.583333333333
01/01/2016 08:00,Wind,438.083333333333
01/01/2016 09:00,Dual Fuel,3060.33333333333
01/01/2016 09:00,Hydro,3171.91666666667
01/01/2016 09:00,Natural Gas,1475.91666666667
01/01/2016 09:00,Nuclear,5417
01/01/2016 09:00,Other Fossil Fuels,86.6666666666667
01/01/2016 09:00,Other Renewables,317.25
01/01/2016 09:00,Wind,482.75
01/01/2016 10:00,Dual Fuel,3042.33333333333
01/01/2016 10:00,Hydro,3624.33333333333
01/01/2016 10:00,Natural Gas,1607.75
01/01/2016 10:00,Nuclear,5424
01/01/2016 10:00,Other Fossil Fuels,86.8333333333333
01/01/2016 10:00,Other Renewables,321.75
01/01/2016 10:00,Wind,564.083333333333
01/01/2016 11:00,Dual Fuel,3111.91666666667
01/01/2016 11:00,Hydro,3659
01/01/2016 11:00,Natural Gas,1697.08333333333
01/01/2016 11:00,Nuclear,5425
01/01/2016 11:00,Other Fossil Fuels,85.75
01/01/2016 11:00,Other Renewables,318
01/01/2016 11:00,Wind,625.333333333333
01/01/2016 12:00,Dual Fuel,3351.83333333333
01/01/2016 12:00,Hydro,3452.75
01/01/2016 12:00,Natural Gas,1698.25
01/01/2016 12:00,Nuclear,5425.16666666667
01/01/2016 12:00,Other Fossil Fuels,86.3333333333333
01/01/2016 12:00,Other Renewables,311.583333333333
01/01/2016 12:00,Wind,719.5
01/01/2016 13:00,Dual Fuel,3418.91666666667
01/01/2016 13:00,Hydro,3521.83333333333
01/01/2016 13:00,Natural Gas,1694.5
01/01/2016 13:00,Nuclear,5425.5
01/01/2016 13:00,Other Fossil Fuels,87
01/01/2016 13:00,Other Renewables,308.166666666667
01/01/2016 13:00,Wind,682.583333333333
01/01/2016 14:00,Dual Fuel,3495.33333333333
01/01/2016 14:00,Hydro,3589.83333333333
01/01/2016 14:00,Natural Gas,1730.33333333333
01/01/2016 14:00,Nuclear,5423
01/01/2016 14:00,Other Fossil Fuels,86.9166666666667
01/01/2016 14:00,Other Renewables,298.583333333333
01/01/2016 14:00,Wind,590.75
01/01/2016 15:00,Dual Fuel,3642.5
01/01/2016 15:00,Hydro,3530
01/01/2016 15:00,Natural Gas,1842.33333333333
01/01/2016 15:00,Nuclear,5423.25
01/01/2016 15:00,Other Fossil Fuels,87
01/01/2016 15:00,Other Renewables,301
01/01/2016 15:00,Wind,563.666666666667
01/01/2016 16:00,Dual Fuel,3756.16666666667
01/01/2016 16:00,Hydro,3675.33333333333
01/01/2016 16:00,Natural Gas,2078.25
01/01/2016 16:00,Nuclear,5422.33333333333
01/01/2016 16:00,Other Fossil Fuels,86.3333333333333
01/01/2016 16:00,Other Renewables,306.833333333333
01/01/2016 16:00,Wind,558.916666666667
01/01/2016 17:00,Dual Fuel,4030.75
01/01/2016 17:00,Hydro,4190.5
01/01/2016 17:00,Natural Gas,2454.75
01/01/2016 17:00,Nuclear,5423.33333333333
01/01/2016 17:00,Other Fossil Fuels,88.4166666666667
01/01/2016 17:00,Other Renewables,307.833333333333
01/01/2016 17:00,Wind,511
01/01/2016 18:00,Dual Fuel,4128.25
01/01/2016 18:00,Hydro,4127.16666666667
01/01/2016 18:00,Natural Gas,2272.83333333333
01/01/2016 18:00,Nuclear,5423.66666666667
01/01/2016 18:00,Other Fossil Fuels,88.6666666666667
01/01/2016 18:00,Other Renewables,305.5
01/01/2016 18:00,Wind,500.5
01/01/2016 19:00,Dual Fuel,3940.08333333333
01/01/2016 19:00,Hydro,3901
01/01/2016 19:00,Natural Gas,2260.08333333333
01/01/2016 19:00,Nuclear,5422.58333333333
01/01/2016 19:00,Other Fossil Fuels,96.4166666666667
01/01/2016 19:00,Other Renewables,302.166666666667
