TimeStamp,ZoneName,Load,ZoneID
01/01/2012 00:00:00,CAPITL,1040.8,F
01/01/2012 00:00:00,CENTRL,1497.3,C
01/01/2012 00:00:00,DUNWOD,553.3,I
01/01/2012 00:00:00,GENESE,906.8,B
01/01/2012 00:00:00,HUD VL,969.1,G
01/01/2012 00:00:00,LONGIL,2164.8,K
01/01/2012 00:00:00,MHK VL,709.6,E
01/01/2012 00:00:00,MILLWD,313.5,H
01/01/2012 00:00:00,N.Y.C.,4937.5,J
01/01/2012 00:00:00,NORTH,747.8,D
01/01/2012 00:00:00,WEST,1462.2,A
01/01/2012 01:00:00,CAPITL,986.1,F
01/01/2012 01:00:00,CENTRL,1437.5,C
01/01/2012 01:00:00,DUNWOD,526,I
01/01/2012 01:00:00,GENESE,862.4,B
01/01/2012 01:00:00,HUD VL,902.4,G
01/01/2012 01:00:00,LONGIL,2024.7,K
01/01/2012 01:00:00,MHK VL,677.8,E
01/01/2012 01:00:00,MILLWD,288.3,H
01/01/2012 01:00:00,N.Y.C.,4752.1,J
01/01/2012 01:00:00,NORTH,747.1,D
01/01/2012 01:00:00,WEST,1402.3,A
01/01/2012 02:00:00,CAPITL,947.7,F
01/01/2012 02:00:00,CENTRL,1387.3,C
01/01/2012 02:00:00,DUNWOD,491.7,I
01/01/2012 02:00:00,GENESE,827.1,B
01/01/2012 02:00:00,HUD VL,852.3,G
01/01/2012 02:00:00,LONGIL,1869.6,K
01/01/2012 02:00:00,MHK VL,668.7,E
01/01/2012 02:00:00,MILLWD,268.4,H
01/01/2012 02:00:00,N.Y.C.,4542.6,J
01/01/2012 02:00:00,NORTH,733.7,D
01/01/2012 02:00:00,WEST,1348,A
01/01/2012 03:00:00,CAPITL,926.9,F
01/01/2012 03:00:00,CENTRL,1353.6,C
01/01/2012 03:00:00,DUNWOD,476.2,I
01/01/2012 03:00:00,GENESE,806.3,B
01/01/2012 03:00:00,HUD VL,826.9,G
01/01/2012 03:00:00,LONGIL,1794.8,K
01/01/2012 03:00:00,MHK VL,652.7,E
01/01/2012 03:00:00,MILLWD,260.5,H
01/01/2012 03:00:00,N.Y.C.,4357.7,J
01/01/2012 03:00:00,NORTH,731.9,D
01/01/2012 03:00:00,WEST,1318.6,A
01/01/2012 04:00:00,CAPITL,923.9,F
01/01/2012 04:00:00,CENTRL,1351.2,C
01/01/2012 04:00:00,DUNWOD,463.3,I
01/01/2012 04:00:00,GENESE,800.6,B
01/01/2012 04:00:00,HUD VL,818.7,G
01/01/2012 04:00:00,LONGIL,1770.2,K
01/01/2012 04:00:00,MHK VL,656.8,E
01/01/2012 04:00:00,MILLWD,254.8,H
01/01/2012 04:00:00,N.Y.C.,4275.5,J
01/01/2012 04:00:00,NORTH,727.6,D
01/01/2012 04:00:00,WEST,1312.4,A
01/01/2012 05:00:00,CAPITL,939.6,F
01/01/2012 05:00:00,CENTRL,1378.5,C
01/01/2012 05:00:00,DUNWOD,467.6,I
01/01/2012 05:00:00,GENESE,812.6,B
01/01/2012 05:00:00,HUD VL,832.1,G
01/01/2012 05:00:00,LONGIL,1774.4,K
