TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2017,1398571,0.764146232188128,540216,0.848243895085921
02/01/2017,1288901,0.779677821331785,518980,0.902209890965732
03/01/2017,1440265,0.78692685112335,613915,0.963965619033263
04/01/2017,1308522,0.738777100271003,610503,0.990561721183801
05/01/2017,1398989,0.764374617536498,637566,1.00110227615315
06/01/2017,1345028,0.759387985546522,712352,1.15581516095535
07/01/2017,1414057,0.772607417606434,720331,1.13105937845443
08/01/2017,1370791,0.748967894920885,720714,1.13166076273741
09/01/2017,1240509,0.7003777100271,675990,1.09681658878505
10/01/2017,1302163,0.711471173179474,609340,0.956781981710381
11/01/2017,1474964,0.832748419150858,631972,1.02539589823468
12/01/2017,1495790,0.817264402482734,640190,1.00522246507889
