TimeStamp,NG_A2E,NG_F2I,NG_J,NG_K,FO2_UPNY,FO2_DSNY,FO6_UPNY,FO6_DSNY,coal_NY
01/01/2018,3.83,5.53,4.87,5.4,16.32,16.32,10.6,10.6,2.97
01/08/2018,3.94,6.76,6.9,7.16,16.32,16.32,10.57,10.57,2.97
01/15/2018,3.74,4.92,4.22,4.57,16.35,16.35,10.57,10.57,2.97
01/22/2018,4.88,8.4,8.65,8.76,16.47,16.47,10.62,10.62,2.97
01/29/2018,3.76,5.25,4.77,5.01,16.57,16.57,10.67,10.67,2.97
02/05/2018,3.41,5.66,4.83,5.25,16.69,16.69,10.72,10.72,2.97
02/12/2018,3.68,6.29,5.77,5.92,16.81,16.81,10.78,10.78,2.97
02/19/2018,3.48,5.05,4.67,5.26,16.91,16.91,10.84,10.84,2.97
02/26/2018,3.35,4.52,3.65,4.2,17.03,17.03,10.9,10.9,2.97
03/05/2018,3.54,4.32,3.47,4.37,17.13,17.13,10.97,10.97,2.97
03/12/2018,3.01,3.43,2.85,3.38,17.24,17.24,11.03,11.03,2.97
03/19/2018,3.19,3.69,3.03,3.51,17.3,17.3,11.1,11.1,2.97
03/26/2018,3.12,3.29,3.01,3.36,17.36,17.36,11.16,11.16,2.97
04/02/2018,3.18,3.56,2.93,3.29,17.43,17.43,11.23,11.23,2.97
04/09/2018,3.06,3.23,2.71,2.96,17.5,17.5,11.3,11.3,2.97
04/16/2018,3,3.01,2.58,2.88,17.51,17.51,11.34,11.34,2.97
04/23/2018,3.07,3.11,2.69,2.96,17.5,17.5,11.37,11.37,2.97
04/30/2018,3,3.22,3.03,3.12,17.48,17.48,11.41,11.41,2.97
05/07/2018,2.98,3.13,2.93,3.06,17.46,17.46,11.44,11.44,2.97
05/14/2018,2.93,2.98,2.79,2.95,17.45,17.45,11.46,11.46,2.97
05/21/2018,2.93,3.04,2.77,2.94,17.4,17.4,11.45,11.45,2.97
05/28/2018,2.88,3.03,2.82,2.95,17.36,17.36,11.44,11.44,2.97
06/04/2018,2.97,3.08,2.89,3.02,17.31,17.31,11.43,11.43,2.97
06/11/2018,3.02,3.2,2.9,3.04,17.28,17.28,11.42,11.42,2.97
06/18/2018,3.19,3.57,3.19,3.42,17.23,17.23,11.37,11.37,2.97
06/25/2018,3.08,3.43,3,3.25,17.19,17.19,11.34,11.34,2.97
07/02/2018,3.25,3.47,3.19,3.49,17.16,17.16,11.3,11.3,2.97
07/09/2018,3.2,3.46,3.23,3.48,17.13,17.13,11.26,11.26,2.97
07/16/2018,3.28,3.57,3.31,3.52,17.08,17.08,11.22,11.22,2.97
07/23/2018,3.32,3.49,3.4,3.54,17.04,17.04,11.19,11.19,2.97
07/30/2018,3.05,3.25,2.96,3.22,17.01,17.01,11.14,11.14,2.97
08/06/2018,3.01,3.19,2.9,3.14,16.96,16.96,11.11,11.11,2.97
08/13/2018,3.04,3.4,3.21,3.36,16.92,16.92,11.07,11.07,2.97
08/20/2018,2.97,3.17,2.86,3.09,16.87,16.87,11.04,11.04,2.97
08/27/2018,3.03,3.31,3.07,3.28,16.84,16.84,11.01,11.01,2.97
09/03/2018,2.98,3.34,2.93,3.28,16.79,16.79,10.99,10.99,2.97
09/10/2018,2.98,3.28,2.91,3.22,16.75,16.75,10.95,10.95,2.97
09/17/2018,2.87,3.28,2.61,3.09,16.7,16.7,10.93,10.93,2.97
09/24/2018,2.65,2.89,2.33,2.78,16.67,16.67,10.91,10.91,2.97
10/01/2018,2.68,2.84,2.43,2.87,16.64,16.64,10.89,10.89,2.97
10/08/2018,2.65,2.9,2.47,2.89,16.59,16.59,10.87,10.87,2.97
10/15/2018,2.95,3.29,2.56,3.15,16.55,16.55,10.84,10.84,2.97
10/22/2018,3.08,3.29,2.84,3.17,16.54,16.54,10.82,10.82,2.97
10/29/2018,2.82,3.28,2.55,3.04,16.5,16.5,10.8,10.8,2.97
11/05/2018,2.92,3.29,2.5,2.99,16.48,16.48,10.79,10.79,2.97
11/12/2018,3.12,3.53,2.8,3.11,16.45,16.45,10.77,10.77,2.97
11/19/2018,3.42,4,3.28,3.66,16.42,16.42,10.75,10.75,2.97
11/26/2018,3.36,4.18,3.27,3.7,16.38,16.38,10.73,10.73,2.97
12/03/2018,3.71,4.88,3.83,4.29,16.35,16.35,10.71,10.71,2.97
12/10/2018,3.58,5.18,3.87,4.56,16.32,16.32,10.7,10.7,2.97
12/17/2018,3.39,5.12,3.52,4.15,16.32,16.32,10.67,10.67,2.97
12/24/2018,3.84,5.76,4.27,5.11,16.32,16.32,10.64,10.64,2.97
12/31/2018,3.84,5.76,4.27,5.11,16.32,16.32,10.64,10.64,2.97
