TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2021,1506975,0.823375622869132,619394,0.972568711687268
02/01/2021,1191509,0.720763767905536,524839,0.912395346573209
03/01/2021,1406336,0.768388845178774,595976,0.935797909757813
04/01/2021,1309500,0.739329268292683,595616,0.966407061266874
05/01/2021,1359452,0.742772532564035,595187,0.934559026730982
06/01/2021,1338710,0.75582091237579,595699,0.966541731568017
07/01/2021,1383393,0.755853330710726,626987,0.984491194352326
08/01/2021,1364432,0.745493487192936,654328,1.02742186714903
09/01/2021,1261762,0.712376919602529,613782,0.995882009345794
10/01/2021,1332743,0.728179364454935,627284,0.984957541955582
11/01/2021,1449147,0.818172425474255,602582,0.977709631360332
12/01/2021,1521590,0.831360914415596,662635,1.04046546829464
