TimeStamp,FitzPatrickCF,FitzPatrickGen,GinnaCF,GinnaGen,IndianPoint2CF,IndianPoint2Gen,IndianPoint3CF,IndianPoint3Gen,NineMilePoint1CF,NineMilePoint1Gen,NineMilePoint2CF,NineMilePoint2Gen
01/01/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/02/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/03/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/04/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/05/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/06/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
01/07/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/08/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/09/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/10/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/11/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/12/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/13/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/14/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/15/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/16/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/17/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/18/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/19/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/20/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/21/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/22/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/23/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/24/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/25/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/26/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/27/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/28/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/29/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/30/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/31/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.99,622.71,1,1299
02/01/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.99,622.71,1,1299
02/02/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.98,616.42,1,1299
02/03/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.98,616.42,1,1299
02/04/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.97,610.13,1,1299
02/05/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.97,610.13,1,1299
02/06/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.97,610.13,1,1299
02/07/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.97,610.13,1,1299
02/08/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.96,603.84,1,1299
02/09/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.95,597.55,1,1299
02/10/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.95,597.55,1,1299
02/11/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.95,597.55,1,1299
02/12/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
02/13/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
02/14/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.93,584.97,1,1299
02/15/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
02/16/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.93,584.97,1,1299
02/17/2019,1,854.5,1,581.7,1,1025.9,1,1039.9,0.92,578.68,1,1299
