TimeStamp,ZoneName,Load,ZoneID
01/01/2017 00:00:00,CAPITL,1190.5,F
01/01/2017 00:00:00,CENTRL,1616.8,C
01/01/2017 00:00:00,DUNWOD,592.3,I
01/01/2017 00:00:00,GENESE,945.1,B
01/01/2017 00:00:00,HUD VL,964.8,G
01/01/2017 00:00:00,LONGIL,2067.5,K
01/01/2017 00:00:00,MHK VL,834,E
01/01/2017 00:00:00,MILLWD,306.5,H
01/01/2017 00:00:00,N.Y.C.,5011.2,J
01/01/2017 00:00:00,NORTH,531.1,D
01/01/2017 00:00:00,WEST,1605.2,A
01/01/2017 01:00:00,CAPITL,1149.6,F
01/01/2017 01:00:00,CENTRL,1551.1,C
01/01/2017 01:00:00,DUNWOD,566.1,I
01/01/2017 01:00:00,GENESE,901.9,B
01/01/2017 01:00:00,HUD VL,914,G
01/01/2017 01:00:00,LONGIL,1940.6,K
01/01/2017 01:00:00,MHK VL,791.2,E
01/01/2017 01:00:00,MILLWD,288.6,H
01/01/2017 01:00:00,N.Y.C.,4837.3,J
01/01/2017 01:00:00,NORTH,519,D
01/01/2017 01:00:00,WEST,1538.5,A
01/01/2017 02:00:00,CAPITL,1113.1,F
01/01/2017 02:00:00,CENTRL,1507.8,C
01/01/2017 02:00:00,DUNWOD,539.8,I
01/01/2017 02:00:00,GENESE,876,B
01/01/2017 02:00:00,HUD VL,872.7,G
01/01/2017 02:00:00,LONGIL,1829.4,K
01/01/2017 02:00:00,MHK VL,765.3,E
01/01/2017 02:00:00,MILLWD,274.5,H
01/01/2017 02:00:00,N.Y.C.,4652.6,J
01/01/2017 02:00:00,NORTH,507.3,D
01/01/2017 02:00:00,WEST,1499,A
01/01/2017 03:00:00,CAPITL,1091.6,F
01/01/2017 03:00:00,CENTRL,1487.9,C
01/01/2017 03:00:00,DUNWOD,512.9,I
01/01/2017 03:00:00,GENESE,862.8,B
01/01/2017 03:00:00,HUD VL,858.9,G
01/01/2017 03:00:00,LONGIL,1759.7,K
01/01/2017 03:00:00,MHK VL,752.8,E
01/01/2017 03:00:00,MILLWD,263.1,H
01/01/2017 03:00:00,N.Y.C.,4500.7,J
