TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2020,1552678,0.848346664918262,622334,0.977185081901316
02/01/2020,1425821,0.832761540977479,598731,1.00495991782146
03/01/2020,1528957,0.835386069586502,623547,0.979089727163099
04/01/2020,1441510,0.813860659439928,663781,1.07700707424714
05/01/2020,1490116,0.814164262610368,715042,1.12275462265099
06/01/2020,1397520,0.789024390243902,678037,1.10013791536864
07/01/2020,1481275,0.809333748579421,698326,1.09650726057683
08/01/2020,1451114,0.792854489028761,686928,1.07861018993066
09/01/2020,1384471,0.78165706865402,648126,1.05160630841122
10/01/2020,1407159,0.768838512981904,635389,0.997683963923224
11/01/2020,1424512,0.804263775971093,592019,0.960570807372793
12/01/2020,1493083,0.815785361482647,627239,0.984886883227816
