TimeStamp,NG_A2E,NG_F2I,NG_J,NG_K,FO2_UPNY,FO2_DSNY,FO6_UPNY,FO6_DSNY,coal_NY
01/01/2019,4.3,6.17,5.47,6.05,17.74,17.74,12.96,12.96,3.1
01/08/2019,4.43,7.54,7.75,8.01,17.74,17.74,12.92,12.92,3.1
01/15/2019,4.21,5.49,4.74,5.12,17.77,17.77,12.92,12.92,3.1
01/22/2019,5.48,9.37,9.73,9.81,17.9,17.9,12.99,12.99,3.1
01/29/2019,4.23,5.86,5.36,5.61,18.01,18.01,13.04,13.04,3.1
02/05/2019,3.83,6.31,5.43,5.87,18.14,18.14,13.11,13.11,3.1
02/12/2019,4.13,7.02,6.48,6.63,18.27,18.27,13.18,13.18,3.1
02/19/2019,3.91,5.64,5.25,5.88,18.38,18.38,13.26,13.26,3.1
02/26/2019,3.77,5.04,4.11,4.7,18.51,18.51,13.33,13.33,3.1
03/05/2019,3.98,4.82,3.91,4.89,18.62,18.62,13.41,13.41,3.1
03/12/2019,3.38,3.82,3.21,3.78,18.75,18.75,13.49,13.49,3.1
03/19/2019,3.59,4.12,3.41,3.93,18.8,18.8,13.57,13.57,3.1
03/26/2019,3.51,3.67,3.38,3.76,18.87,18.87,13.65,13.65,3.1
04/02/2019,3.58,3.97,3.29,3.68,18.95,18.95,13.73,13.73,3.1
04/09/2019,3.44,3.6,3.05,3.32,19.02,19.02,13.81,13.81,3.1
04/16/2019,3.37,3.35,2.9,3.22,19.04,19.04,13.86,13.86,3.1
04/23/2019,3.45,3.47,3.02,3.31,19.02,19.02,13.9,13.9,3.1
04/30/2019,3.37,3.59,3.4,3.49,19,19,13.94,13.94,3.1
05/07/2019,3.34,3.49,3.29,3.43,18.98,18.98,13.98,13.98,3.1
05/14/2019,3.3,3.33,3.14,3.3,18.97,18.97,14.01,14.01,3.1
05/21/2019,3.29,3.39,3.11,3.29,18.91,18.91,14,14,3.1
05/28/2019,3.23,3.38,3.17,3.3,18.87,18.87,13.98,13.98,3.1
06/04/2019,3.34,3.44,3.25,3.38,18.82,18.82,13.97,13.97,3.1
06/11/2019,3.4,3.57,3.25,3.41,18.78,18.78,13.96,13.96,3.1
06/18/2019,3.59,3.98,3.59,3.82,18.73,18.73,13.9,13.9,3.1
06/25/2019,3.46,3.83,3.37,3.63,18.69,18.69,13.86,13.86,3.1
07/02/2019,3.65,3.87,3.59,3.9,18.65,18.65,13.81,13.81,3.1
07/09/2019,3.6,3.86,3.63,3.89,18.62,18.62,13.77,13.77,3.1
07/16/2019,3.69,3.98,3.72,3.93,18.56,18.56,13.72,13.72,3.1
07/23/2019,3.73,3.89,3.82,3.96,18.53,18.53,13.68,13.68,3.1
07/30/2019,3.42,3.62,3.33,3.6,18.49,18.49,13.62,13.62,3.1
08/06/2019,3.38,3.55,3.26,3.51,18.43,18.43,13.58,13.58,3.1
08/13/2019,3.42,3.8,3.61,3.76,18.4,18.4,13.53,13.53,3.1
08/20/2019,3.34,3.54,3.21,3.46,18.34,18.34,13.5,13.5,3.1
08/27/2019,3.41,3.7,3.45,3.67,18.3,18.3,13.46,13.46,3.1
09/03/2019,3.36,3.73,3.29,3.67,18.25,18.25,13.43,13.43,3.1
09/10/2019,3.35,3.66,3.27,3.6,18.21,18.21,13.39,13.39,3.1
09/17/2019,3.23,3.66,2.94,3.46,18.16,18.16,13.37,13.37,3.1
09/24/2019,2.98,3.22,2.61,3.12,18.12,18.12,13.34,13.34,3.1
10/01/2019,3.01,3.17,2.74,3.21,18.08,18.08,13.31,13.31,3.1
10/08/2019,2.98,3.24,2.77,3.23,18.03,18.03,13.29,13.29,3.1
10/15/2019,3.32,3.67,2.88,3.52,17.99,17.99,13.26,13.26,3.1
10/22/2019,3.46,3.67,3.19,3.55,17.97,17.97,13.23,13.23,3.1
10/29/2019,3.17,3.66,2.86,3.4,17.94,17.94,13.2,13.2,3.1
11/05/2019,3.28,3.67,2.81,3.34,17.92,17.92,13.19,13.19,3.1
11/12/2019,3.51,3.94,3.15,3.48,17.88,17.88,13.16,13.16,3.1
11/19/2019,3.84,4.46,3.69,4.09,17.85,17.85,13.14,13.14,3.1
11/26/2019,3.78,4.66,3.68,4.14,17.81,17.81,13.12,13.12,3.1
12/03/2019,4.17,5.44,4.3,4.8,17.77,17.77,13.1,13.1,3.1
12/10/2019,4.03,5.77,4.35,5.1,17.74,17.74,13.08,13.08,3.1
12/17/2019,3.82,5.72,3.95,4.65,17.74,17.74,13.04,13.04,3.1
12/24/2019,4.32,6.43,4.8,5.72,17.74,17.74,13,13,3.1
12/31/2019,4.32,6.43,4.8,5.72,17.74,17.74,13,13,3.1
