TimeStamp,FitzPatrickCF,FitzPatrickGen,GinnaCF,GinnaGen,IndianPoint2CF,IndianPoint2Gen,IndianPoint3CF,IndianPoint3Gen,NineMilePoint1CF,NineMilePoint1Gen,NineMilePoint2CF,NineMilePoint2Gen
01/01/2017,0.57,487.065,1,581.7,1,1025.9,1,1039.9,0.96,603.84,1,1299
01/02/2017,0.57,487.065,1,581.7,1,1025.9,1,1039.9,0.96,603.84,1,1299
01/03/2017,0.56,478.52,1,581.7,1,1025.9,1,1039.9,0.97,610.13,1,1299
01/04/2017,0.56,478.52,1,581.7,1,1025.9,1,1039.9,0.96,603.84,1,1299
01/05/2017,0.56,478.52,1,581.7,1,1025.9,1,1039.9,0.95,597.55,1,1299
01/06/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.96,603.84,1,1299
01/07/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
01/08/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
01/09/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.94,591.26,1,1299
01/10/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.93,584.97,1,1299
01/11/2017,0.55,469.975,1,581.7,1,1025.9,1,1039.9,0.93,584.97,1,1299
01/12/2017,0.54,461.43,1,581.7,1,1025.9,1,1039.9,0.92,578.68,1,1299
01/13/2017,0.54,461.43,1,581.7,1,1025.9,1,1039.9,0.92,578.68,1,1299
01/14/2017,0.09,76.905,1,581.7,1,1025.9,1,1039.9,0.92,578.68,1,1299
01/15/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.92,578.68,1,1299
01/16/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.91,572.39,1,1299
01/17/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.91,572.39,1,1299
01/18/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.9,566.1,1,1299
01/19/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.91,572.39,1,1299
01/20/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.9,566.1,1,1299
01/21/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.9,566.1,1,1299
01/22/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.9,566.1,1,1299
01/23/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.89,559.81,1,1299
01/24/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.89,559.81,1,1299
01/25/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.89,559.81,1,1299
01/26/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.88,553.52,1,1299
01/27/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.88,553.52,1,1299
01/28/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.88,553.52,1,1299
01/29/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.88,553.52,1,1299
01/30/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.87,547.23,1,1299
01/31/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.87,547.23,1,1299
02/01/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.87,547.23,1,1299
02/02/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.87,547.23,1,1299
02/03/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.86,540.94,1,1299
02/04/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.86,540.94,1,1299
02/05/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.85,534.65,1,1299
02/06/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.85,534.65,1,1299
02/07/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.85,534.65,1,1299
02/08/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.85,534.65,1,1299
02/09/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.84,528.36,1,1299
02/10/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.85,534.65,1,1299
02/11/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.84,528.36,1,1299
02/12/2017,0,0,1,581.7,1,1025.9,1,1039.9,0.84,528.36,1,1299
