TimeStamp,ZoneName,Load,ZoneID
01/01/2015 00:00:00,CAPITL,1280.8,F
01/01/2015 00:00:00,CENTRL,1813.7,C
01/01/2015 00:00:00,DUNWOD,643.8,I
01/01/2015 00:00:00,GENESE,1042.4,B
01/01/2015 00:00:00,HUD VL,1069.8,G
01/01/2015 00:00:00,LONGIL,2338,K
01/01/2015 00:00:00,MHK VL,947.7,E
01/01/2015 00:00:00,MILLWD,336.5,H
01/01/2015 00:00:00,N.Y.C.,5272,J
01/01/2015 00:00:00,NORTH,544.2,D
01/01/2015 00:00:00,WEST,1763.4,A
01/01/2015 01:00:00,CAPITL,1230.8,F
01/01/2015 01:00:00,CENTRL,1737.4,C
01/01/2015 01:00:00,DUNWOD,612.9,I
01/01/2015 01:00:00,GENESE,991.2,B
01/01/2015 01:00:00,HUD VL,1020.4,G
01/01/2015 01:00:00,LONGIL,2164.1,K
01/01/2015 01:00:00,MHK VL,901.5,E
01/01/2015 01:00:00,MILLWD,317.7,H
01/01/2015 01:00:00,N.Y.C.,5092.6,J
01/01/2015 01:00:00,NORTH,540.6,D
01/01/2015 01:00:00,WEST,1695,A
01/01/2015 02:00:00,CAPITL,1198.5,F
01/01/2015 02:00:00,CENTRL,1700.7,C
01/01/2015 02:00:00,DUNWOD,587.9,I
01/01/2015 02:00:00,GENESE,961.5,B
01/01/2015 02:00:00,HUD VL,982.8,G
01/01/2015 02:00:00,LONGIL,2060,K
01/01/2015 02:00:00,MHK VL,865,E
01/01/2015 02:00:00,MILLWD,307,H
01/01/2015 02:00:00,N.Y.C.,4909.5,J
01/01/2015 02:00:00,NORTH,534.7,D
01/01/2015 02:00:00,WEST,1650.9,A
01/01/2015 03:00:00,CAPITL,1188.9,F
01/01/2015 03:00:00,CENTRL,1683.3,C
01/01/2015 03:00:00,DUNWOD,570,I
01/01/2015 03:00:00,GENESE,947.1,B
01/01/2015 03:00:00,HUD VL,962.1,G
01/01/2015 03:00:00,LONGIL,1989.3,K
01/01/2015 03:00:00,MHK VL,857.5,E
01/01/2015 03:00:00,MILLWD,300.6,H
01/01/2015 03:00:00,N.Y.C.,4771.4,J
01/01/2015 03:00:00,NORTH,529.4,D
01/01/2015 03:00:00,WEST,1625.3,A
01/01/2015 04:00:00,CAPITL,1190.9,F
01/01/2015 04:00:00,CENTRL,1688.4,C
01/01/2015 04:00:00,DUNWOD,563.5,I
01/01/2015 04:00:00,GENESE,951.2,B
01/01/2015 04:00:00,HUD VL,957.5,G
01/01/2015 04:00:00,LONGIL,1968.8,K
01/01/2015 04:00:00,MHK VL,867.1,E
01/01/2015 04:00:00,MILLWD,298.4,H
01/01/2015 04:00:00,N.Y.C.,4698.5,J
01/01/2015 04:00:00,NORTH,529.3,D
01/01/2015 04:00:00,WEST,1627.6,A
01/01/2015 05:00:00,CAPITL,1211.6,F
01/01/2015 05:00:00,CENTRL,1719.3,C
01/01/2015 05:00:00,DUNWOD,572.5,I
01/01/2015 05:00:00,GENESE,970.6,B
01/01/2015 05:00:00,HUD VL,972,G
01/01/2015 05:00:00,LONGIL,1986.3,K
01/01/2015 05:00:00,MHK VL,886.8,E
01/01/2015 05:00:00,MILLWD,304.1,H
01/01/2015 05:00:00,N.Y.C.,4720.9,J
