TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2016,1386544,0.757574962846403,521383,0.818672432418852
02/01/2016,1256724,0.733999158957107,537862,0.902792324632076
03/01/2016,1260400,0.688652854270478,645827,1.01407364837705
04/01/2016,1311743,0.74059564137308,633484,1.02784916926272
05/01/2016,1362088,0.744212780837486,620526,0.974346171239071
06/01/2016,1269730,0.716875564588979,641001,1.04004575545171
07/01/2016,1286443,0.702882135676196,616980,0.968778263491106
08/01/2016,1258833,0.687796682402308,607236,0.95347829363883
09/01/2016,1125404,0.635390695573622,580748,0.942283229491173
10/01/2016,1191884,0.651217326689396,563119,0.884206047130942
11/01/2016,1345958,0.7599130532972,553932,0.898773364485981
12/01/2016,1317481,0.719840567357287,566298,0.889197693699126
