TimeStamp,FuelCategory,GenMW
01/01/2021 00:00:00,Dual Fuel,3158.15384615385
01/01/2021 00:00:00,Hydro,3162.07692307692
01/01/2021 00:00:00,Natural Gas,1714.30769230769
01/01/2021 00:00:00,Nuclear,4398.61538461538
01/01/2021 00:00:00,Other Fossil Fuels,2
01/01/2021 00:00:00,Other Renewables,260.692307692308
01/01/2021 00:00:00,Wind,58.1538461538462
01/01/2021 01:00:00,Dual Fuel,2998.58333333333
01/01/2021 01:00:00,Hydro,2821.5
01/01/2021 01:00:00,Natural Gas,1603.75
01/01/2021 01:00:00,Nuclear,4398.41666666667
01/01/2021 01:00:00,Other Fossil Fuels,2
01/01/2021 01:00:00,Other Renewables,260.666666666667
01/01/2021 01:00:00,Wind,73.4166666666667
01/01/2021 02:00:00,Dual Fuel,2574.08333333333
01/01/2021 02:00:00,Hydro,2991.75
01/01/2021 02:00:00,Natural Gas,1481
01/01/2021 02:00:00,Nuclear,4398.66666666667
01/01/2021 02:00:00,Other Fossil Fuels,2
01/01/2021 02:00:00,Other Renewables,260.333333333333
01/01/2021 02:00:00,Wind,26.75
01/01/2021 03:00:00,Dual Fuel,2661.08333333333
01/01/2021 03:00:00,Hydro,2916.75
01/01/2021 03:00:00,Natural Gas,1496.91666666667
01/01/2021 03:00:00,Nuclear,4398.66666666667
01/01/2021 03:00:00,Other Fossil Fuels,2
01/01/2021 03:00:00,Other Renewables,260.25
01/01/2021 03:00:00,Wind,31
01/01/2021 04:00:00,Dual Fuel,2743.5
01/01/2021 04:00:00,Hydro,2995.25
01/01/2021 04:00:00,Natural Gas,1500.41666666667
01/01/2021 04:00:00,Nuclear,4398.66666666667
01/01/2021 04:00:00,Other Fossil Fuels,2
01/01/2021 04:00:00,Other Renewables,259.833333333333
01/01/2021 04:00:00,Wind,55.8333333333333
01/01/2021 05:00:00,Dual Fuel,2914.33333333333
01/01/2021 05:00:00,Hydro,3016.75
01/01/2021 05:00:00,Natural Gas,1618.83333333333
01/01/2021 05:00:00,Nuclear,4399.75
