TimeStamp,FitzPatrickCF,FitzPatrickGen,GinnaCF,GinnaGen,IndianPoint2CF,IndianPoint2Gen,IndianPoint3CF,IndianPoint3Gen,NineMilePoint1CF,NineMilePoint1Gen,NineMilePoint2CF,NineMilePoint2Gen
01/01/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/02/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/03/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/04/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/05/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/06/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/07/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/08/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/09/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/10/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/11/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/12/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/13/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/14/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/15/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/16/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/17/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/18/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.95,1234.05
01/19/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/20/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/21/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/22/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/23/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/24/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,1,1299
01/25/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.99,1286.01
01/26/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.99,1286.01
01/27/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.99,1286.01
01/28/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.98,1273.02
01/29/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.98,1273.02
01/30/2020,1,854.5,1,581.7,1,1025.9,1,1039.9,1,629,0.98,1273.02
01/31/2020,0.52,444.34,1,581.7,1,1025.9,1,1039.9,1,629,0.97,1260.03
02/01/2020,0,0,1,581.7,1,1025.9,1,1039.9,1,629,0.97,1260.03
