TimeStamp,ZoneName,Load,ZoneID
01/01/2003 00:00:00,CAPITL,1085,F
01/01/2003 00:00:00,CENTRL,1605,C
01/01/2003 00:00:00,DUNWOD,614,I
01/01/2003 00:00:00,GENESE,945,B
01/01/2003 00:00:00,HUD VL,1043,G
01/01/2003 00:00:00,MHK VL,654,E
01/01/2003 00:00:00,MILLWD,227,H
01/01/2003 00:00:00,N.Y.C._LONGIL,6956,<undefined>
01/01/2003 00:00:00,NORTH,726,D
01/01/2003 00:00:00,WEST,1541,A
01/01/2003 01:00:00,CAPITL,1033,F
01/01/2003 01:00:00,CENTRL,1528,C
01/01/2003 01:00:00,DUNWOD,577,I
01/01/2003 01:00:00,GENESE,889,B
01/01/2003 01:00:00,HUD VL,987,G
01/01/2003 01:00:00,MHK VL,608,E
01/01/2003 01:00:00,MILLWD,203,H
01/01/2003 01:00:00,N.Y.C._LONGIL,6566,<undefined>
01/01/2003 01:00:00,NORTH,717,D
01/01/2003 01:00:00,WEST,1460,A
01/01/2003 02:00:00,CAPITL,989,F
01/01/2003 02:00:00,CENTRL,1465,C
01/01/2003 02:00:00,DUNWOD,544,I
01/01/2003 02:00:00,GENESE,854,B
01/01/2003 02:00:00,HUD VL,937,G
01/01/2003 02:00:00,MHK VL,571,E
01/01/2003 02:00:00,MILLWD,185,H
01/01/2003 02:00:00,N.Y.C._LONGIL,6180,<undefined>
01/01/2003 02:00:00,NORTH,703,D
01/01/2003 02:00:00,WEST,1389,A
01/01/2003 03:00:00,CAPITL,969,F
01/01/2003 03:00:00,CENTRL,1429,C
01/01/2003 03:00:00,DUNWOD,512,I
01/01/2003 03:00:00,GENESE,828,B
01/01/2003 03:00:00,HUD VL,908,G
01/01/2003 03:00:00,MHK VL,545,E
01/01/2003 03:00:00,MILLWD,178,H
01/01/2003 03:00:00,N.Y.C._LONGIL,5892,<undefined>
01/01/2003 03:00:00,NORTH,704,D
01/01/2003 03:00:00,WEST,1353,A
01/01/2003 04:00:00,CAPITL,968,F
01/01/2003 04:00:00,CENTRL,1426,C
01/01/2003 04:00:00,DUNWOD,504,I
01/01/2003 04:00:00,GENESE,821,B
01/01/2003 04:00:00,HUD VL,898,G
01/01/2003 04:00:00,MHK VL,545,E
01/01/2003 04:00:00,MILLWD,174,H
01/01/2003 04:00:00,N.Y.C._LONGIL,5768,<undefined>
01/01/2003 04:00:00,NORTH,708,D
01/01/2003 04:00:00,WEST,1349,A
01/01/2003 05:00:00,CAPITL,983,F
01/01/2003 05:00:00,CENTRL,1440,C
01/01/2003 05:00:00,DUNWOD,506,I
01/01/2003 05:00:00,GENESE,820,B
