TimeStamp,ZoneName,Load,ZoneID
01/01/2004 00:00:00,CAPITL,984,F
01/01/2004 00:00:00,CENTRL,1612,C
01/01/2004 00:00:00,DUNWOD,601,I
01/01/2004 00:00:00,GENESE,946,B
01/01/2004 00:00:00,HUD VL,1067,G
01/01/2004 00:00:00,MHK VL,621,E
01/01/2004 00:00:00,MILLWD,216,H
01/01/2004 00:00:00,N.Y.C._LONGIL,7073,<undefined>
01/01/2004 00:00:00,NORTH,635,D
01/01/2004 00:00:00,WEST,1564,A
01/01/2004 01:00:00,CAPITL,913,F
01/01/2004 01:00:00,CENTRL,1537,C
01/01/2004 01:00:00,DUNWOD,562,I
01/01/2004 01:00:00,GENESE,888,B
01/01/2004 01:00:00,HUD VL,1001,G
01/01/2004 01:00:00,MHK VL,580,E
01/01/2004 01:00:00,MILLWD,199,H
01/01/2004 01:00:00,N.Y.C._LONGIL,6660,<undefined>
01/01/2004 01:00:00,NORTH,627,D
01/01/2004 01:00:00,WEST,1495,A
01/01/2004 02:00:00,CAPITL,873,F
01/01/2004 02:00:00,CENTRL,1473,C
01/01/2004 02:00:00,DUNWOD,533,I
01/01/2004 02:00:00,GENESE,837,B
01/01/2004 02:00:00,HUD VL,950,G
01/01/2004 02:00:00,MHK VL,546,E
01/01/2004 02:00:00,MILLWD,184,H
01/01/2004 02:00:00,N.Y.C._LONGIL,6298,<undefined>
01/01/2004 02:00:00,NORTH,620,D
01/01/2004 02:00:00,WEST,1439,A
01/01/2004 03:00:00,CAPITL,855,F
01/01/2004 03:00:00,CENTRL,1439,C
01/01/2004 03:00:00,DUNWOD,507,I
01/01/2004 03:00:00,GENESE,811,B
01/01/2004 03:00:00,HUD VL,919,G
01/01/2004 03:00:00,MHK VL,524,E
01/01/2004 03:00:00,MILLWD,179,H
01/01/2004 03:00:00,N.Y.C._LONGIL,6035,<undefined>
01/01/2004 03:00:00,NORTH,616,D
01/01/2004 03:00:00,WEST,1395,A
01/01/2004 04:00:00,CAPITL,849,F
01/01/2004 04:00:00,CENTRL,1435,C
01/01/2004 04:00:00,DUNWOD,498,I
01/01/2004 04:00:00,GENESE,805,B
01/01/2004 04:00:00,HUD VL,904,G
01/01/2004 04:00:00,MHK VL,524,E
01/01/2004 04:00:00,MILLWD,180,H
01/01/2004 04:00:00,N.Y.C._LONGIL,5924,<undefined>
01/01/2004 04:00:00,NORTH,615,D
01/01/2004 04:00:00,WEST,1385,A
01/01/2004 05:00:00,CAPITL,861,F
01/01/2004 05:00:00,CENTRL,1456,C
01/01/2004 05:00:00,DUNWOD,505,I
01/01/2004 05:00:00,GENESE,816,B
01/01/2004 05:00:00,HUD VL,914,G
01/01/2004 05:00:00,MHK VL,539,E
01/01/2004 05:00:00,MILLWD,187,H
01/01/2004 05:00:00,N.Y.C._LONGIL,5942,<undefined>
01/01/2004 05:00:00,NORTH,623,D
01/01/2004 05:00:00,WEST,1398,A
01/01/2004 06:00:00,CAPITL,904,F
01/01/2004 06:00:00,CENTRL,1498,C
01/01/2004 06:00:00,DUNWOD,521,I
01/01/2004 06:00:00,GENESE,847,B
01/01/2004 06:00:00,HUD VL,939,G
01/01/2004 06:00:00,MHK VL,567,E
01/01/2004 06:00:00,MILLWD,193,H
01/01/2004 06:00:00,N.Y.C._LONGIL,6065,<undefined>
01/01/2004 06:00:00,NORTH,630,D
01/01/2004 06:00:00,WEST,1422,A
01/01/2004 07:00:00,CAPITL,946,F
01/01/2004 07:00:00,CENTRL,1525,C
01/01/2004 07:00:00,DUNWOD,519,I
01/01/2004 07:00:00,GENESE,870,B
01/01/2004 07:00:00,HUD VL,950,G
01/01/2004 07:00:00,MHK VL,591,E
01/01/2004 07:00:00,MILLWD,199,H
01/01/2004 07:00:00,N.Y.C._LONGIL,6072,<undefined>
01/01/2004 07:00:00,NORTH,638,D
01/01/2004 07:00:00,WEST,1461,A
01/01/2004 08:00:00,CAPITL,1003,F
01/01/2004 08:00:00,CENTRL,1572,C
01/01/2004 08:00:00,DUNWOD,531,I
01/01/2004 08:00:00,GENESE,886,B
01/01/2004 08:00:00,HUD VL,987,G
01/01/2004 08:00:00,MHK VL,628,E
01/01/2004 08:00:00,MILLWD,206,H
01/01/2004 08:00:00,N.Y.C._LONGIL,6232,<undefined>
01/01/2004 08:00:00,NORTH,650,D
01/01/2004 08:00:00,WEST,1469,A
01/01/2004 09:00:00,CAPITL,1077,F
01/01/2004 09:00:00,CENTRL,1656,C
01/01/2004 09:00:00,DUNWOD,557,I
01/01/2004 09:00:00,GENESE,948,B
01/01/2004 09:00:00,HUD VL,1043,G
01/01/2004 09:00:00,MHK VL,682,E
01/01/2004 09:00:00,MILLWD,216,H
01/01/2004 09:00:00,N.Y.C._LONGIL,6482,<undefined>
01/01/2004 09:00:00,NORTH,661,D
01/01/2004 09:00:00,WEST,1525,A
01/01/2004 10:00:00,CAPITL,1148,F
01/01/2004 10:00:00,CENTRL,1742,C
01/01/2004 10:00:00,DUNWOD,580,I
01/01/2004 10:00:00,GENESE,1021,B
01/01/2004 10:00:00,HUD VL,1101,G
01/01/2004 10:00:00,MHK VL,735,E
01/01/2004 10:00:00,MILLWD,221,H
01/01/2004 10:00:00,N.Y.C._LONGIL,6796,<undefined>
01/01/2004 10:00:00,NORTH,672,D
01/01/2004 10:00:00,WEST,1583,A
01/01/2004 11:00:00,CAPITL,1184,F
01/01/2004 11:00:00,CENTRL,1784,C
01/01/2004 11:00:00,DUNWOD,597,I
01/01/2004 11:00:00,GENESE,1062,B
01/01/2004 11:00:00,HUD VL,1128,G
01/01/2004 11:00:00,MHK VL,761,E
01/01/2004 11:00:00,MILLWD,223,H
01/01/2004 11:00:00,N.Y.C._LONGIL,7028,<undefined>
01/01/2004 11:00:00,NORTH,678,D
01/01/2004 11:00:00,WEST,1604,A
01/01/2004 12:00:00,CAPITL,1185,F
01/01/2004 12:00:00,CENTRL,1794,C
01/01/2004 12:00:00,DUNWOD,606,I
01/01/2004 12:00:00,GENESE,1073,B
01/01/2004 12:00:00,HUD VL,1129,G
01/01/2004 12:00:00,MHK VL,764,E
01/01/2004 12:00:00,MILLWD,219,H
01/01/2004 12:00:00,N.Y.C._LONGIL,7129,<undefined>
01/01/2004 12:00:00,NORTH,678,D
01/01/2004 12:00:00,WEST,1612,A
01/01/2004 13:00:00,CAPITL,1165,F
01/01/2004 13:00:00,CENTRL,1782,C
01/01/2004 13:00:00,DUNWOD,602,I
01/01/2004 13:00:00,GENESE,1073,B
01/01/2004 13:00:00,HUD VL,1120,G
01/01/2004 13:00:00,MHK VL,745,E
01/01/2004 13:00:00,MILLWD,215,H
01/01/2004 13:00:00,N.Y.C._LONGIL,7160,<undefined>
01/01/2004 13:00:00,NORTH,673,D
01/01/2004 13:00:00,WEST,1606,A
01/01/2004 14:00:00,CAPITL,1141,F
01/01/2004 14:00:00,CENTRL,1760,C
01/01/2004 14:00:00,DUNWOD,605,I
01/01/2004 14:00:00,GENESE,1058,B
01/01/2004 14:00:00,HUD VL,1110,G
01/01/2004 14:00:00,MHK VL,727,E
01/01/2004 14:00:00,MILLWD,207,H
01/01/2004 14:00:00,N.Y.C._LONGIL,7188,<undefined>
01/01/2004 14:00:00,NORTH,669,D
01/01/2004 14:00:00,WEST,1605,A
01/01/2004 15:00:00,CAPITL,1148,F
01/01/2004 15:00:00,CENTRL,1764,C
01/01/2004 15:00:00,DUNWOD,610,I
01/01/2004 15:00:00,GENESE,1058,B
01/01/2004 15:00:00,HUD VL,1117,G
01/01/2004 15:00:00,MHK VL,728,E
01/01/2004 15:00:00,MILLWD,212,H
01/01/2004 15:00:00,N.Y.C._LONGIL,7221,<undefined>
01/01/2004 15:00:00,NORTH,667,D
01/01/2004 15:00:00,WEST,1613,A
01/01/2004 16:00:00,CAPITL,1252,F
01/01/2004 16:00:00,CENTRL,1890,C
01/01/2004 16:00:00,DUNWOD,653,I
01/01/2004 16:00:00,GENESE,1148,B
01/01/2004 16:00:00,HUD VL,1208,G
01/01/2004 16:00:00,MHK VL,803,E
01/01/2004 16:00:00,MILLWD,241,H
01/01/2004 16:00:00,N.Y.C._LONGIL,7665,<undefined>
01/01/2004 16:00:00,NORTH,687,D
01/01/2004 16:00:00,WEST,1708,A
01/01/2004 17:00:00,CAPITL,1391,F
01/01/2004 17:00:00,CENTRL,2034,C
01/01/2004 17:00:00,DUNWOD,731,I
01/01/2004 17:00:00,GENESE,1261,B
01/01/2004 17:00:00,HUD VL,1352,G
01/01/2004 17:00:00,MHK VL,881,E
01/01/2004 17:00:00,MILLWD,287,H
01/01/2004 17:00:00,N.Y.C._LONGIL,8371,<undefined>
01/01/2004 17:00:00,NORTH,706,D
01/01/2004 17:00:00,WEST,1882,A
01/01/2004 18:00:00,CAPITL,1374,F
01/01/2004 18:00:00,CENTRL,2038,C
01/01/2004 18:00:00,DUNWOD,739,I
01/01/2004 18:00:00,GENESE,1261,B
01/01/2004 18:00:00,HUD VL,1358,G
01/01/2004 18:00:00,MHK VL,878,E
01/01/2004 18:00:00,MILLWD,294,H
01/01/2004 18:00:00,N.Y.C._LONGIL,8427,<undefined>
01/01/2004 18:00:00,NORTH,704,D
01/01/2004 18:00:00,WEST,1891,A
01/01/2004 19:00:00,CAPITL,1332,F
01/01/2004 19:00:00,CENTRL,2008,C
01/01/2004 19:00:00,DUNWOD,732,I
01/01/2004 19:00:00,GENESE,1234,B
01/01/2004 19:00:00,HUD VL,1331,G
01/01/2004 19:00:00,MHK VL,854,E
01/01/2004 19:00:00,MILLWD,296,H
01/01/2004 19:00:00,N.Y.C._LONGIL,8329,<undefined>
01/01/2004 19:00:00,NORTH,698,D
01/01/2004 19:00:00,WEST,1875,A
01/01/2004 20:00:00,CAPITL,1287,F
01/01/2004 20:00:00,CENTRL,1961,C
01/01/2004 20:00:00,DUNWOD,721,I
01/01/2004 20:00:00,GENESE,1209,B
01/01/2004 20:00:00,HUD VL,1296,G
01/01/2004 20:00:00,MHK VL,832,E
01/01/2004 20:00:00,MILLWD,286,H
01/01/2004 20:00:00,N.Y.C._LONGIL,8171,<undefined>
01/01/2004 20:00:00,NORTH,690,D
01/01/2004 20:00:00,WEST,1848,A
01/01/2004 21:00:00,CAPITL,1243,F
01/01/2004 21:00:00,CENTRL,1909,C
01/01/2004 21:00:00,DUNWOD,699,I
01/01/2004 21:00:00,GENESE,1175,B
01/01/2004 21:00:00,HUD VL,1247,G
01/01/2004 21:00:00,MHK VL,789,E
01/01/2004 21:00:00,MILLWD,274,H
01/01/2004 21:00:00,N.Y.C._LONGIL,7974,<undefined>
01/01/2004 21:00:00,NORTH,679,D
01/01/2004 21:00:00,WEST,1801,A
01/01/2004 22:00:00,CAPITL,1113,F
01/01/2004 22:00:00,CENTRL,1808,C
01/01/2004 22:00:00,DUNWOD,658,I
01/01/2004 22:00:00,GENESE,1091,B
