TimeStamp,rmnGen,rmnCF,stlGen,stlCF
01/01/2018,1303692,0.712306582743247,566179,0.889010840619033
02/01/2018,1281882,0.775431910569106,566616,0.985021695594125
03/01/2018,1540588,0.841740973861351,666079,1.04587321625967
04/01/2018,1366917,0.771746273712737,650392,1.05528296988577
05/01/2018,1470254,0.803312133927791,660998,1.03789506079791
06/01/2018,1384816,0.781851851851852,663799,1.07703627985462
07/01/2018,1403172,0.766660110149489,692292,1.08703271028037
08/01/2018,1373085,0.75022128245476,668414,1.04953961913376
09/01/2018,1270823,0.71749266034327,623819,1.01216738058152
10/01/2018,1354662,0.74015538945712,605226,0.950322203798613
11/01/2018,1488016,0.840117434507678,625767,1.01532807632399
12/01/2018,1535477,0.838948443919923,649972,1.02058210230128
