TimeStamp,ZoneName,Load,ZoneID
01/01/2005 00:00:00,CAPITL,1065,F
01/01/2005 00:00:00,CENTRL,1591,C
01/01/2005 00:00:00,DUNWOD,625,I
01/01/2005 00:00:00,GENESE,952,B
01/01/2005 00:00:00,HUD VL,1102,G
01/01/2005 00:00:00,MHK VL,671,E
01/01/2005 00:00:00,MILLWD,195,H
01/01/2005 00:00:00,N.Y.C._LONGIL,7210,<undefined>
01/01/2005 00:00:00,NORTH,709,D
01/01/2005 00:00:00,WEST,1497,A
01/01/2005 01:00:00,CAPITL,999,F
01/01/2005 01:00:00,CENTRL,1517,C
01/01/2005 01:00:00,DUNWOD,585,I
01/01/2005 01:00:00,GENESE,896,B
01/01/2005 01:00:00,HUD VL,1027,G
01/01/2005 01:00:00,MHK VL,622,E
01/01/2005 01:00:00,MILLWD,177,H
01/01/2005 01:00:00,N.Y.C._LONGIL,6807,<undefined>
01/01/2005 01:00:00,NORTH,696,D
01/01/2005 01:00:00,WEST,1411,A
01/01/2005 02:00:00,CAPITL,948,F
01/01/2005 02:00:00,CENTRL,1438,C
01/01/2005 02:00:00,DUNWOD,549,I
01/01/2005 02:00:00,GENESE,842,B
01/01/2005 02:00:00,HUD VL,975,G
01/01/2005 02:00:00,MHK VL,585,E
01/01/2005 02:00:00,MILLWD,161,H
01/01/2005 02:00:00,N.Y.C._LONGIL,6415,<undefined>
01/01/2005 02:00:00,NORTH,691,D
01/01/2005 02:00:00,WEST,1346,A
01/01/2005 03:00:00,CAPITL,923,F
01/01/2005 03:00:00,CENTRL,1405,C
01/01/2005 03:00:00,DUNWOD,524,I
01/01/2005 03:00:00,GENESE,817,B
01/01/2005 03:00:00,HUD VL,951,G
01/01/2005 03:00:00,MHK VL,564,E
01/01/2005 03:00:00,MILLWD,156,H
01/01/2005 03:00:00,N.Y.C._LONGIL,6150,<undefined>
01/01/2005 03:00:00,NORTH,687,D
01/01/2005 03:00:00,WEST,1312,A
01/01/2005 04:00:00,CAPITL,915,F
01/01/2005 04:00:00,CENTRL,1408,C
01/01/2005 04:00:00,DUNWOD,514,I
01/01/2005 04:00:00,GENESE,818,B
01/01/2005 04:00:00,HUD VL,940,G
01/01/2005 04:00:00,MHK VL,564,E
01/01/2005 04:00:00,MILLWD,153,H
01/01/2005 04:00:00,N.Y.C._LONGIL,6012,<undefined>
01/01/2005 04:00:00,NORTH,689,D
01/01/2005 04:00:00,WEST,1311,A
