TimeStamp,NG_A2E,NG_F2I,NG_J,NG_K,FO2_UPNY,FO2_DSNY,FO6_UPNY,FO6_DSNY,coal_NY
01/01/2021,4.93,7.05,6.28,6.91,19.43,19.43,14.71,14.71,3.29
01/08/2021,5.08,8.61,8.89,9.15,19.43,19.43,14.66,14.66,3.29
01/15/2021,4.83,6.27,5.44,5.85,19.47,19.47,14.66,14.66,3.29
01/22/2021,6.28,10.71,11.16,11.21,19.61,19.61,14.74,14.74,3.29
01/29/2021,4.85,6.69,6.15,6.41,19.73,19.73,14.8,14.8,3.29
02/05/2021,4.39,7.21,6.23,6.71,19.87,19.87,14.87,14.87,3.29
02/12/2021,4.74,8.02,7.43,7.58,20.01,20.01,14.95,14.95,3.29
02/19/2021,4.48,6.44,6.03,6.72,20.13,20.13,15.04,15.04,3.29
02/26/2021,4.32,5.76,4.71,5.37,20.27,20.27,15.12,15.12,3.29
03/05/2021,4.56,5.51,4.48,5.59,20.39,20.39,15.21,15.21,3.29
03/12/2021,3.88,4.37,3.68,4.32,20.53,20.53,15.3,15.3,3.29
03/19/2021,4.11,4.7,3.91,4.49,20.59,20.59,15.39,15.39,3.29
03/26/2021,4.02,4.19,3.88,4.29,20.67,20.67,15.48,15.48,3.29
04/02/2021,4.1,4.54,3.77,4.2,20.75,20.75,15.58,15.58,3.29
04/09/2021,3.94,4.12,3.5,3.79,20.83,20.83,15.67,15.67,3.29
04/16/2021,3.86,3.83,3.33,3.68,20.85,20.85,15.73,15.73,3.29
04/23/2021,3.95,3.96,3.47,3.79,20.83,20.83,15.77,15.77,3.29
04/30/2021,3.86,4.1,3.9,3.99,20.81,20.81,15.82,15.82,3.29
05/07/2021,3.83,3.99,3.78,3.92,20.79,20.79,15.87,15.87,3.29
05/14/2021,3.78,3.8,3.6,3.77,20.77,20.77,15.9,15.9,3.29
05/21/2021,3.78,3.88,3.57,3.75,20.71,20.71,15.88,15.88,3.29
05/28/2021,3.71,3.86,3.64,3.77,20.67,20.67,15.87,15.87,3.29
06/04/2021,3.83,3.93,3.73,3.86,20.61,20.61,15.85,15.85,3.29
06/11/2021,3.89,4.08,3.73,3.89,20.57,20.57,15.83,15.83,3.29
06/18/2021,4.12,4.55,4.11,4.37,20.51,20.51,15.77,15.77,3.29
06/25/2021,3.97,4.37,3.86,4.15,20.47,20.47,15.73,15.73,3.29
07/02/2021,4.19,4.42,4.12,4.46,20.43,20.43,15.67,15.67,3.29
07/09/2021,4.13,4.41,4.16,4.45,20.39,20.39,15.62,15.62,3.29
07/16/2021,4.23,4.55,4.27,4.49,20.33,20.33,15.56,15.56,3.29
07/23/2021,4.28,4.44,4.38,4.52,20.29,20.29,15.51,15.51,3.29
07/30/2021,3.93,4.14,3.82,4.11,20.25,20.25,15.45,15.45,3.29
08/06/2021,3.88,4.06,3.74,4.01,20.19,20.19,15.41,15.41,3.29
08/13/2021,3.92,4.34,4.14,4.29,20.15,20.15,15.35,15.35,3.29
08/20/2021,3.83,4.04,3.68,3.95,20.09,20.09,15.32,15.32,3.29
08/27/2021,3.91,4.22,3.96,4.2,20.05,20.05,15.27,15.27,3.29
09/03/2021,3.85,4.26,3.77,4.19,19.99,19.99,15.24,15.24,3.29
09/10/2021,3.84,4.18,3.75,4.12,19.95,19.95,15.19,15.19,3.29
09/17/2021,3.7,4.18,3.37,3.95,19.89,19.89,15.16,15.16,3.29
09/24/2021,3.42,3.68,3,3.56,19.85,19.85,15.13,15.13,3.29
10/01/2021,3.45,3.62,3.14,3.67,19.81,19.81,15.1,15.1,3.29
10/08/2021,3.42,3.7,3.18,3.69,19.75,19.75,15.07,15.07,3.29
10/15/2021,3.8,4.19,3.3,4.02,19.71,19.71,15.04,15.04,3.29
10/22/2021,3.96,4.19,3.66,4.05,19.69,19.69,15.01,15.01,3.29
10/29/2021,3.64,4.18,3.28,3.89,19.65,19.65,14.98,14.98,3.29
11/05/2021,3.76,4.19,3.22,3.82,19.63,19.63,14.96,14.96,3.29
11/12/2021,4.03,4.5,3.61,3.98,19.59,19.59,14.93,14.93,3.29
11/19/2021,4.41,5.09,4.23,4.67,19.55,19.55,14.9,14.9,3.29
11/26/2021,4.33,5.32,4.22,4.73,19.51,19.51,14.89,14.89,3.29
12/03/2021,4.78,6.22,4.93,5.49,19.47,19.47,14.86,14.86,3.29
12/10/2021,4.61,6.6,4.99,5.83,19.43,19.43,14.84,14.84,3.29
12/17/2021,4.37,6.53,4.54,5.31,19.43,19.43,14.8,14.8,3.29
12/24/2021,4.95,7.35,5.51,6.54,19.43,19.43,14.75,14.75,3.29
12/31/2021,4.95,7.35,5.51,6.54,19.43,19.43,14.75,14.75,3.29
