TimeStamp,NG_A2E,NG_F2I,NG_J,NG_K,FO2_UPNY,FO2_DSNY,FO6_UPNY,FO6_DSNY,coal_NY
1/1/2016,3.47,5.05,4.42,4.93,14.14,14.14,9.15,9.15,2.85
1/8/2016,3.57,6.17,6.26,6.53,14.14,14.14,9.12,9.12,2.85
1/15/2016,3.4,4.49,3.83,4.17,14.17,14.17,9.12,9.12,2.85
1/22/2016,4.42,7.67,7.86,7.99,14.27,14.27,9.17,9.17,2.85
1/29/2016,3.41,4.8,4.33,4.57,14.36,14.36,9.21,9.21,2.85
2/5/2016,3.09,5.17,4.39,4.79,14.46,14.46,9.25,9.25,2.85
2/12/2016,3.33,5.74,5.24,5.4,14.57,14.57,9.3,9.3,2.85
2/19/2016,3.15,4.61,4.25,4.79,14.65,14.65,9.36,9.36,2.85
2/26/2016,3.04,4.13,3.32,3.83,14.76,14.76,9.4,9.4,2.85
3/5/2016,3.21,3.94,3.16,3.99,14.84,14.84,9.46,9.46,2.85
3/12/2016,2.73,3.13,2.59,3.08,14.95,14.95,9.52,9.52,2.85
3/19/2016,2.89,3.37,2.76,3.2,14.99,14.99,9.58,9.58,2.85
3/26/2016,2.83,3,2.74,3.06,15.05,15.05,9.63,9.63,2.85
4/2/2016,2.89,3.25,2.66,3,15.11,15.11,9.69,9.69,2.85
4/9/2016,2.77,2.95,2.46,2.7,15.17,15.17,9.75,9.75,2.85
4/16/2016,2.72,2.74,2.34,2.63,15.18,15.18,9.79,9.79,2.85
4/23/2016,2.78,2.84,2.44,2.7,15.17,15.17,9.81,9.81,2.85
4/30/2016,2.72,2.94,2.75,2.85,15.15,15.15,9.84,9.84,2.85
5/7/2016,2.7,2.86,2.66,2.79,15.14,15.14,9.87,9.87,2.85
5/14/2016,2.66,2.72,2.54,2.69,15.12,15.12,9.89,9.89,2.85
5/21/2016,2.66,2.78,2.51,2.68,15.08,15.08,9.88,9.88,2.85
5/28/2016,2.61,2.77,2.56,2.69,15.05,15.05,9.87,9.87,2.85
6/4/2016,2.7,2.81,2.63,2.75,15.01,15.01,9.86,9.86,2.85
6/11/2016,2.74,2.92,2.63,2.77,14.98,14.98,9.85,9.85,2.85
6/18/2016,2.9,3.26,2.9,3.11,14.93,14.93,9.81,9.81,2.85
6/25/2016,2.79,3.13,2.72,2.96,14.9,14.9,9.79,9.79,2.85
7/2/2016,2.95,3.17,2.9,3.18,14.87,14.87,9.75,9.75,2.85
7/9/2016,2.91,3.16,2.94,3.17,14.84,14.84,9.72,9.72,2.85
7/16/2016,2.98,3.26,3.01,3.21,14.8,14.8,9.68,9.68,2.85
7/23/2016,3.01,3.18,3.09,3.23,14.77,14.77,9.65,9.65,2.85
7/30/2016,2.76,2.97,2.69,2.93,14.74,14.74,9.61,9.61,2.85
8/6/2016,2.73,2.91,2.64,2.86,14.7,14.7,9.59,9.59,2.85
8/13/2016,2.76,3.11,2.92,3.06,14.67,14.67,9.55,9.55,2.85
8/20/2016,2.69,2.89,2.6,2.82,14.63,14.63,9.53,9.53,2.85
8/27/2016,2.75,3.03,2.79,2.99,14.6,14.6,9.5,9.5,2.85
9/3/2016,2.71,3.05,2.66,2.99,14.55,14.55,9.48,9.48,2.85
9/10/2016,2.7,2.99,2.64,2.94,14.52,14.52,9.45,9.45,2.85
9/17/2016,2.6,2.99,2.37,2.82,14.48,14.48,9.43,9.43,2.85
9/24/2016,2.41,2.64,2.11,2.54,14.45,14.45,9.41,9.41,2.85
10/1/2016,2.43,2.6,2.21,2.61,14.42,14.42,9.4,9.4,2.85
10/8/2016,2.4,2.65,2.24,2.63,14.38,14.38,9.38,9.38,2.85
10/15/2016,2.67,3,2.33,2.87,14.35,14.35,9.36,9.36,2.85
10/22/2016,2.79,3,2.58,2.89,14.33,14.33,9.34,9.34,2.85
10/29/2016,2.56,2.99,2.31,2.77,14.3,14.3,9.32,9.32,2.85
11/5/2016,2.65,3,2.27,2.72,14.29,14.29,9.31,9.31,2.85
11/12/2016,2.83,3.23,2.55,2.84,14.26,14.26,9.29,9.29,2.85
11/19/2016,3.1,3.65,2.98,3.33,14.23,14.23,9.27,9.27,2.85
11/26/2016,3.05,3.81,2.98,3.37,14.2,14.2,9.26,9.26,2.85
12/3/2016,3.36,4.45,3.48,3.91,14.17,14.17,9.24,9.24,2.85
12/10/2016,3.25,4.72,3.52,4.16,14.14,14.14,9.23,9.23,2.85
12/17/2016,3.08,4.68,3.2,3.79,14.14,14.14,9.21,9.21,2.85
12/24/2016,3.48,5.26,3.88,4.66,14.14,14.14,9.18,9.18,2.85
12/31/2016,3.48,5.26,3.88,4.66,14.14,14.14,9.18,9.18,2.85
