NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,start-time
Astoria GT 4-2,24103,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,4,40,40,40,13.315,0,0,0,0,0,0,0,10m
Astoria GT 4-3,24104,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,4.4,44,44,44,13.315,0,0,0,0,0,0,0,10m
Astoria GT 4-4,24105,J,Jet Engine,Kerosene,40.7864,-73.9133,42,0,4.2,42,42,42,13.315,0,0,0,0,0,0,0,10m
Athens 1,23668,F,Combined Cycle,Natural Gas,42.2728,-73.8492,390,271,39,390,390,390,6.334294534,155.2696981,0.979040044,-0.003240508,8.41297342,-175.5882576,0.979303753,1,10m
Athens 2,23670,F,Combined Cycle,Natural Gas,42.2728,-73.8492,378,132,37.8,378,378,378,5.70156114,362.2534494,0.941696862,0.012611926,-1.413317672,1350.584687,0.969715686,1,10m
Athens 3,23677,F,Combined Cycle,Natural Gas,42.2728,-73.8492,392,269.45,39.2,392,392,392,7.100470559,-5.983359818,0.97235679,0.001487241,6.127857757,151.7860039,0.972386375,1,10m
Barrett 03,23706,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24,1,2.4,24,24,24,15.77326267,4.354829253,0.985118451,-0.179428812,19.51720875,-6.61609149,0.988500397,1,10m
Barrett 04,23707,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24,1,2.4,24,24,24,15.77326267,4.354829253,0.985118451,-0.179428812,19.51720875,-6.61609149,0.988500397,1,10m
Barrett 05,23708,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,2.2,22,22,22,15.62115617,3.899004851,0.985750959,-0.179243284,19.27293369,-6.43950422,0.988910663,1,10m
Barrett 06,23709,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,2.2,22,22,22,15.62115617,3.899004851,0.985750959,-0.179243284,19.27293369,-6.43950422,0.988910663,1,10m
Barrett 08,23711,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,23,1,0.35,3.5,10.5,21,15.41110336,4.656866663,0.986129589,-0.153604118,18.80259092,-6.091615992,0.98873721,1,12h
Barrett 09,23700,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,11.098,0,0,0,0,0,0,0,12h
Barrett 10,23701,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,11.098,0,0,0,0,0,0,0,12h
Barrett 11,23702,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,11.098,0,0,0,0,0,0,0,12h
Barrett 12,23703,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,11.098,0,0,0,0,0,0,0,12h
Barrett GT 01,23704,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.72486776,4.402440376,0.98729628,-0.192145064,19.63776939,-6.261843772,0.991154982,1,12h
Barrett GT 02,23705,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.72486776,4.402440376,0.98729628,-0.192145064,19.63776939,-6.261843772,0.991154982,1,12h
Barrett ST 01,23545,K,Steam Turbine,Natural Gas,40.6169,-73.6486,209,49,2.258333333,22.58333333,67.75,135.5,10.04601278,66.91466823,0.996522289,0.00327774,9.203988082,113.5308069,0.996647944,1,12h
Barrett ST 02,23546,K,Steam Turbine,Natural Gas,40.6169,-73.6486,201,48,1.425,14.25,42.75,85.5,9.82333226,53.410893,0.994969607,0.004226777,8.775004823,108.9996537,0.995156343,1,12h
Batavia,24024,B,Combined Cycle,Natural Gas,42.9828,-78.1592,43,9,0.441666667,4.416666667,13.25,26.5,9.612127121,91.15099861,0.935448922,-0.071599475,13.775869,38.07726557,0.939794463,1,12h
Beaver Falls,23983,E,Combined Cycle,Natural Gas,43.8861,-75.4342,98,1.3,0.808333333,8.083333333,24.25,48.5,6.134250184,136.1803997,0.90914342,0.013936068,4.59703606,164.8802031,0.909295518,1,12h
Bethlehem Energy Center,323570,F,Combined Cycle,Natural Gas,42.5905,-73.7636,618,116,6,60,180,360,9.794188106,248.14913,0.978839372,-0.005868279,13.89690452,-342.2895457,0.984490187,1,12h
Bethpage,23823,K,Combined Cycle,Natural Gas,40.7469,-73.4994,61,10,0.85,8.5,25.5,51,7.346196594,17.35413596,0.941195955,-0.021014986,9.092365815,-14.52856702,0.942053828,1,12h
Bethpage 3,323564,K,Combined Cycle,Natural Gas,40.7469,-73.4994,83,27,0.875,8.75,26.25,52.5,7.681906839,39.75216229,0.946942156,0.086177807,-2.338011752,311.8288016,0.974149981,1,12h
Bethpage GT4,323586,K,Combustion Turbine,Natural Gas,40.7469,-73.4994,49,14,0.641666667,6.416666667,19.25,38.5,16.0371658,-290.2944649,0.914021021,0.435069447,-12.75805515,116.9972084,0.951694905,1,12h
Binghamton (RET - 1/9/18),23790,C,Combined Cycle,Natural Gas,42.107192,-75.927782,47.7,0,0.795,7.95,23.85,47.7,7.633,0,0,0,0,0,0,0,12h
Bowline 1,23526,G,Steam Turbine,Natural Gas,41.2044,-73.9689,621,30.55,6.208333333,62.08333333,186.25,372.5,8.34588048,659.34261,0.987997921,-0.00385445,10.96281952,362.8212407,0.99113521,1,12h
Bowline 2,23595,G,Steam Turbine,Natural Gas,41.2044,-73.9689,593,83.4,4.9,49,147,294,9.992484488,303.8092403,0.994178771,0.004143168,7.152073996,654.2707964,0.995992919,1,12h
Brentwood,24164,K,Combustion Turbine,Natural Gas,40.787,-73.2933,49,15,0.658333333,6.583333333,19.75,39.5,16.80520301,-339.6376342,0.885031603,0.373537238,-9.236915792,72.02862232,0.926490676,1,12h
Brooklyn Navy Yard,23515,J,Combined Cycle,Natural Gas,40.6994,-73.9758,240,101,1.591666667,15.91666667,47.75,95.5,10.73046957,132.0502378,0.973868019,-0.03680819,23.51914475,-921.2924893,0.99160168,1,12h
"Burrstone Engy Center, LLC LU",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,1.1,0,0.018333333,0.183333333,0.55,1.1,8.899,0,0,0,0,0,0,0,12h
"Burrstone Engy Center, LLC U",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,2.2,0,0.036666667,0.366666667,1.1,2.2,8.899,0,0,0,0,0,0,0,12h
CPV_VALLEY___CC1,323721,G,Combined Cycle,Natural Gas,41.413,-74.435,361,222,3.533333333,35.33333333,106,212,7.319446658,-151.0164462,0.906008737,0.020149868,-4.609779072,1597.234073,0.917392599,1,12h
CPV_VALLEY___CC2,323722,G,Combined Cycle,Natural Gas,41.413,-74.435,362,221,3.283333333,32.83333333,98.5,197,7.230298646,-125.7705182,0.924874711,0.019596768,-4.342888462,1564.498402,0.936563699,1,12h
Caithness_CC_1,323624,K,Combined Cycle,Natural Gas,40.8142,-72.9403,373,247,2.725,27.25,81.75,163.5,6.821770348,-54.02257817,0.961133497,0.003319518,4.775823086,257.6018869,0.961376263,1,12h
Carr St.-E. Syr,24060,C,Combined Cycle,Natural Gas,43.0611,-76.0819,82,15,0.891666667,8.916666667,26.75,53.5,9.494931204,162.7746933,0.989839008,0.027626137,6.839363138,213.2801052,0.992010408,1,12h
Carthage Energy,23857,E,Combined Cycle,Natural Gas,43.9842,-75.6225,61,0,1.016666667,10.16666667,30.5,61,7.633,0,0,0,0,0,0,0,12h
Castleton Energy Center,23900,F,Combined Cycle,Natural Gas,42.5375,-73.7433,78,39,0.641666667,6.416666667,19.25,38.5,9.505951326,-32.07241943,0.966388254,0.089621174,-1.273065536,289.0600208,0.971311971,1,12h
Cayuga 1,23584,C,Steam Turbine,Coal,42.6028,-76.6336,166,59,1.266666667,12.66666667,38,76,9.318744544,110.7942234,0.994675913,-0.003730861,10.09535611,77.02183874,0.994749268,1,12h
Charles P Keller 09,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,3.5,0,0.058333333,0.583333333,1.75,3.5,10.325,0,0,0,0,0,0,0,12h
Charles P Keller 10,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,3.5,0,0.058333333,0.583333333,1.75,3.5,10.325,0,0,0,0,0,0,0,12h
Charles P Keller 11,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,5.2,0,0.086666667,0.866666667,2.6,5.2,10.325,0,0,0,0,0,0,0,12h
Charles P Keller 14,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,6.2,0,0.103333333,1.033333333,3.1,6.2,10.325,0,0,0,0,0,0,0,12h
Coxsackie GT,23611,G,Combustion Turbine,Kerosene,42.350889,-73.815798,21.6,0,0.36,3.6,10.8,21.6,13.315,0,0,0,0,0,0,0,12h
Danskammer 1,23586,G,Steam Turbine,Natural Gas,41.573,-73.9646,74,7,0.65,6.5,19.5,39,12.15408179,74.8963352,0.91984563,0.07984489,4.615710643,212.8855776,0.926364393,1,12h
Danskammer 2,23589,G,Steam Turbine,Natural Gas,41.573,-73.9646,70,7.75,0.733333333,7.333333333,22,44,11.35397964,86.57679898,0.871739477,0.05805101,6.149501789,176.8520688,0.870670104,1,12h
Danskammer 3,23590,G,Steam Turbine,Natural Gas,41.573,-73.9646,147,3.85,1.208333333,12.08333333,36.25,72.5,8.416498764,164.5743032,0.958350449,0.010462693,6.594205348,215.8699913,0.958496387,1,12h
Danskammer 4,23591,G,Steam Turbine,Natural Gas,41.573,-73.9646,243,4.9,1.825,18.25,54.75,109.5,7.634544627,197.5440972,0.978263783,-0.001331406,7.987660363,182.0322442,0.977459205,1,12h
EMPIRE_CC_1,323656,F,Combined Cycle,Natural Gas,42.6296,-73.749,327,161,2.9,29,87,174,6.715766834,99.56660892,0.974450811,0.009230435,2.48264651,568.5147089,0.977306002,1,12h
EMPIRE_CC_2,323658,F,Combined Cycle,Natural Gas,42.6296,-73.749,327,159,3.125,31.25,93.75,187.5,6.613481597,112.1510301,0.978220097,0.008102983,2.913671233,520.066758,0.98052889,1,12h
East Hampton 2,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,10.325,0,0,0,0,0,0,0,12h
East Hampton 3,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,10.325,0,0,0,0,0,0,0,12h
East Hampton 4,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,2,0,0.033333333,0.333333333,1,2,10.325,0,0,0,0,0,0,0,12h
East Hampton GT 01,23717,K,Jet Engine,Fuel Oil 2,40.961706,-72.210277,21.3,0,0.355,3.55,10.65,21.3,13.315,0,0,0,0,0,0,0,12h
East River 1,323558,J,Combined Cycle,Natural Gas,40.7281,-73.9742,223,88,2.283333333,22.83333333,68.5,137,7.786862784,432.2104342,0.99480635,0.007874435,5.388562598,603.2693726,0.995797117,1,12h
East River 2,323559,J,Combined Cycle,Natural Gas,40.7281,-73.9742,227,83,2.325,23.25,69.75,139.5,7.653992605,446.9854883,0.985620378,0.006054234,5.87035837,567.5217797,0.986302005,1,12h
Far Rockaway GT1,24212,K,Jet Engine,Natural Gas,40.6106,-73.7614,60,36,1,10,30,60,23.41238619,-713.06975,0.837216218,-0.903331941,112.3812393,-2860.17957,0.892843625,1,12h
Far Rockaway GT2,23815,K,Jet Engine,Kerosene,40.6106,-73.7614,54,23.5,0.9,9,27,54,22.01028467,-570.8347887,0.934903285,0.228571099,2.740719375,-185.2299109,0.939237716,1,12h
Flynn,23794,K,Combined Cycle,Natural Gas,40.8153,-73.0644,111,25,0.908333333,9.083333333,27.25,54.5,9.131057505,281.796809,0.979935625,-0.01068363,10.77152212,221.0312184,0.980766899,1,12h
Fortistar - N.Tonawanda,24026,A,Combined Cycle,Natural Gas,43.0483,-78.8539,51,12,0.508333333,5.083333333,15.25,30.5,9.213061918,98.39510468,0.964204554,-0.019776062,10.516008,79.25342118,0.964682897,1,12h
Freeport 1-4,1660,K,Internal Combustion,Fuel Oil 2,40.6447,-73.5683,5.1,0,0.085,0.85,2.55,5.1,10.325,0,0,0,0,0,0,0,12h
Freeport 2-3,1660,K,Combustion Turbine,Kerosene,40.6447,-73.5683,18.1,0,0.301666667,3.016666667,9.05,18.1,13.315,0,0,0,0,0,0,0,12h
Freeport CT 1,23764,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,50,0,0.833333333,8.333333333,25,50,11.098,0,0,0,0,0,0,0,12h
Freeport CT 2,23818,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,51,1,0.658333333,6.583333333,19.75,39.5,10.29824022,-22.42591314,0.931245665,0.199827345,1.443948924,18.24130084,0.954711275,1,12h
General Mills Inc,23808,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,3.8,0,0.063333333,0.633333333,1.9,3.8,11.098,0,0,0,0,0,0,0,12h
Glenwood GT 02,23688,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,6.45,0.866666667,8.666666667,26,52,13.80357729,11.81508415,0.975660022,-0.017326128,14.92558861,0.537494142,0.97431467,1,12h
Glenwood GT 03,23689,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,7.2,0.775,7.75,23.25,46.5,14.21996327,8.918092776,0.980120664,-0.041063161,17.0706368,-25.93055203,0.980119773,1,12h
Glenwood GT 04,24219,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,49,1,0.783333333,7.833333333,23.5,47,9.845144339,-17.56844131,0.971495296,0.108236987,4.365112394,10.99362793,0.981784396,1,12h
Glenwood GT 05,24220,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,50,2,0.775,7.75,23.25,46.5,10.30414951,-34.15514016,0.97014918,0.089938065,5.527449114,-0.014539106,0.977267927,1,12h
Gowanus 1-1,24077,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-2,24078,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-3,24079,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-4,24080,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-5,24084,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-6,24111,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 1-7,24112,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 2-1,24114,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,12h
Gowanus 2-2,24115,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,over
Gowanus 2-3,24116,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,over
Gowanus 2-4,24117,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 2-5,24118,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 2-6,24119,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 2-7,24120,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 2-8,24121,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-1,24122,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-2,24123,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-3,24124,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-4,24125,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-5,24126,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-6,24127,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-7,24128,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-8,24129,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-1,24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-2,24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-3,24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-4,24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-5,24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-6,24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-8,24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 5,24156,J,Combustion Turbine,Natural Gas,40.663,-74,44,19,0.733333333,7.333333333,22,44,19.43907902,-402.2384956,0.899022881,0.256835944,2.167176568,-129.9783294,0.905089282,1,1h
Gowanus 6,24157,J,Combustion Turbine,Natural Gas,40.663,-74,43,6,0.716666667,7.166666667,21.5,43,14.39086765,-183.2564423,0.895851905,0.481229951,-12.23689748,90.58390323,0.961253432,1,1h
Greenidge 4,23583,C,Steam Turbine,Natural Gas,42.6789,-76.9483,113,36,1.883333333,18.83333333,56.5,113,10.4889317,25.59412471,0.904116112,0.050039358,3.468667045,225.0972314,0.908717676,1,1h
Greenport GT1,23814,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,60,21,1,10,30,60,18.92518338,-475.2285269,0.877749349,0.136380293,7.324920846,-238.6069732,0.880777382,1,1h
Harlem River 1,24160,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,18,0.716666667,7.166666667,21.5,43,20.01931857,-418.5985581,0.886597244,0.511875917,-13.72213456,103.7413248,0.912401218,1,1h
Harlem River 2,24161,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,17.5,0.716666667,7.166666667,21.5,43,20.24149178,-451.7400059,0.867786084,0.613814232,-21.02656243,201.8158263,0.906415647,1,1h
Hellgate 1,24158,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,17,0.716666667,7.166666667,21.5,43,18.18145321,-356.6192964,0.90701578,0.574453045,-18.61533177,182.3667929,0.947821788,1,1h
Hellgate 2,24159,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,16,0.716666667,7.166666667,21.5,43,19.62232226,-386.1554627,0.88602713,0.585495807,-17.75853521,163.1486631,0.929931219,1,1h
Hillburn GT,23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,37,1,0.616666667,6.166666667,18.5,37,13.38443793,-3.146499496,0.806390838,0.53679922,-4.401107535,46.00703848,0.89707621,1,1h
Holtsville 01,23690,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.283333333,2.833333333,8.5,17,17.20153243,2.20291602,0.99393536,-0.013600621,17.43009654,1.492136312,0.993820657,1,1h
Holtsville 02,23691,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.283333333,2.833333333,8.5,17,17.19232247,2.318644808,0.993814301,-0.013478733,17.41890577,1.61338596,0.993694385,1,1h
Holtsville 03,23692,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,1h
Holtsville 04,23693,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,1h
Holtsville 05,23694,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,1h
Holtsville 06,23695,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,1h
Holtsville 07,23696,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,18.01080137,-1.117105092,0.975829726,0.113811427,16.24386485,2.700700992,0.976064106,1,1h
