GEN_NAME,GEN_FUEL
Northport 1,Steam Turbine
Northport 2,Steam Turbine
Northport 3,Steam Turbine
Northport 4,Steam Turbine
Northport GT,Combustion Turbine
Oswego 5,Steam Turbine
Oswego 6,Steam Turbine
Pilgrim GT1,Combustion Turbine
Pilgrim GT2,Combustion Turbine
Pinelawn Power 1,Combined Cycle
Port Jefferson 3,Steam Turbine
Port Jefferson 4,Steam Turbine
Port Jefferson GT 02,Combustion Turbine
Port Jefferson GT 03,Combustion Turbine
Pouch,Combustion Turbine
Ravenswood 01,Combustion Turbine
Ravenswood 10,Jet Engine
Ravenswood 11,Jet Engine
Ravenswood CC 04,Combined Cycle
Ravenswood ST 01,Steam Turbine
Ravenswood ST 02,Steam Turbine
Ravenswood ST 03,Steam Turbine
Rensselaer,Combined Cycle
Roseton 1,Steam Turbine
Roseton 2,Steam Turbine
S Hampton 1,Combustion Turbine
Saranac Energy,Combined Cycle
Selkirk-I,Combined Cycle
Selkirk-II,Combined Cycle
Shoemaker GT,Jet Engine
Shoreham 1,Combustion Turbine
Shoreham 2,Jet Engine
Shoreham GT3,Combustion Turbine
Shoreham GT4,Combustion Turbine
Somerset,Steam Turbine
South Cairo,Combustion Turbine
Southold 1,Combustion Turbine
St. Elizabeth Medical Center,Internal Combustion
Sterling,Combined Cycle
Stony Brook   (BTM:NG),Combustion Turbine
Syracuse,Combined Cycle
Vernon Blvd 2,Combustion Turbine
Vernon Blvd 3,Combustion Turbine
Wading River 1,Combustion Turbine
Wading River 2,Combustion Turbine
Wading River 3,Combustion Turbine
West Babylon 4,Combustion Turbine
R. E. Ginna,Nuclear
James A. FitzPatrick,Nuclear
Nine Mile Point 1,Nuclear
Nine Mile Point 2,Nuclear
Indian Point 2,Nuclear
Indian Point 3,Nuclear
Hydro_A_0,Hydro
Hydro_B_0,Hydro
Hydro_C_0,Hydro
Hydro_C_1,Hydro
Hydro_D_0,Hydro
Hydro_D_1,Hydro
Hydro_E_0,Hydro
Hydro_E_1,Hydro
Hydro_F_0,Hydro
Hydro_G_0,Hydro
Import_NE_0,Import
Import_NE_1,Import
Import_NE_2,Import
Import_NE_3,Import
Import_NE_4,Import
Import_NE_5,Import
Import_NE_6,Import
Import_NE_7,Import
Import_NE_8,Import
Import_IESO_0,Import
Import_IESO_1,Import
Import_IESO_2,Import
Import_IESO_3,Import
Import_IESO_4,Import
Import_IESO_5,Import
Import_PJM_0,Import
Import_PJM_1,Import
Import_PJM_2,Import
Import_PJM_3,Import
Import_PJM_4,Import
Import_PJM_5,Import
Import_PJM_6,Import
Import_PJM_7,Import
Import_PJM_8,Import
Import_PJM_9,Import
Import_PJM_10,Import
Import_PJM_11,Import
Import_D_0,Import
Wind_A_0,Wind
Wind_A_1,Wind
Wind_A_2,Wind
Wind_B_0,Wind
Wind_B_1,Wind
Wind_C_0,Wind
Wind_C_1,Wind
Wind_C_2,Wind
Wind_C_3,Wind
Wind_D_0,Wind
Wind_E_0,Wind
Wind_E_1,Wind
Wind_E_2,Wind
Wind_K_0,Wind
Other_A_0,Other
Other_A_1,Other
Other_B_0,Other
Other_C_0,Other
Other_C_1,Other
Other_C_2,Other
Other_C_3,Other
Other_D_0,Other
Other_E_0,Other
Other_E_1,Other
Other_F_0,Other
Other_F_1,Other
Other_F_2,Other
Other_F_3,Other
Other_G_0,Other
Other_H_0,Other
Other_K_0,Other
Other_K_1,Other
