,F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
71,78,79,0.0003,0.0153,0,0,0,0,0,0,1,-360,360
72,78,80,0.0135,0.0582,0,0,0,0,0,0,1,-360,360
73,78,81,0.0005,0.0276,0,0,0,0,0,0,1,-360,360
74,78,82,0.0005,0.0308,0,0,0,0,0,0,1,-360,360
75,124,125,0.0025,0.073,0,0,0,0,0,0,1,-360,360
76,132,134,0.00235,0.04388,0,0,0,0,0,0,1,-360,360
77,132,138,0.0331,0.4224,0,0,0,0,0,0,1,-360,360
78,21,35,0,0.04447,0,99999,99999,99999,1,0,1,-360,360
79,21,29,0,0.146417,0,99999,99999,99999,1,0,1,-360,360
80,29,35,0,0.056487,0,99999,99999,99999,1,0,1,-360,360
81,100,102,0,0.498846,0,99999,99999,99999,1,0,1,-360,360
82,100,103,0,0.356994,0,99999,99999,99999,1,0,1,-360,360
83,102,103,0,0.038118,0,99999,99999,99999,1,0,1,-360,360
84,124,138,0,1.692451,0,99999,99999,99999,1,0,1,-360,360
85,124,134,0,0.604904,0,99999,99999,99999,1,0,1,-360,360
86,124,132,0,0.01935,0,99999,99999,99999,1,0,1,-360,360
87,124,125,0,0.086083,0,99999,99999,99999,1,0,1,-360,360
88,125,138,0,1.252038,0,99999,99999,99999,1,0,1,-360,360
89,125,134,0,9.422977,0,99999,99999,99999,1,0,1,-360,360
90,125,132,0,0.472891,0,99999,99999,99999,1,0,1,-360,360
91,132,138,0,3.695249,0,99999,99999,99999,1,0,1,-360,360
92,132,134,0,0.076239,0,99999,99999,99999,1,0,1,-360,360
93,134,138,0,1.035283,0,99999,99999,99999,1,0,1,-360,360
